ID,Flower.species,Type,Country,Period,Date,Site,Landuse,Habitat.EUNIS,Habitat.Detailed,Transect,Subtransect,Plot.ID,Plot.location,Flower.genus,Flower.family,Nr.inflorescences.per.plot,Inflorescence.Type.counted
2183,Lamium.purpureum,Wild,FR,A,19/04/2021,FR_V02,Intensive.agriculture,Intensive.unmixed.crops,Avena.sativa,1,3,1,ground,Lamium,Lamiaceae,150,single.flower
3560,Sinapis.sp,Crop,FR,A,19/04/2021,FR_V02,Intensive.agriculture,Intensive.unmixed.crops,Vicia.faba.Triticum.aestivum,1,2,3,ground,Sinapis,Brassicaceae,2,single.flower
3563,Sinapis.sp,Crop,FR,A,19/04/2021,FR_V02,Intensive.agriculture,Intensive.unmixed.crops,Vicia.faba.Triticum.aestivum,1,1,3,ground,Sinapis,Brassicaceae,9,single.flower
3564,Sinapis.sp,Crop,FR,A,19/04/2021,FR_V02,Intensive.agriculture,Intensive.unmixed.crops,Vicia.faba.Triticum.aestivum,1,2,2,ground,Sinapis,Brassicaceae,11,single.flower
3590,Sinapis.sp,Crop,FR,A,19/04/2021,FR_V02,Intensive.agriculture,Intensive.unmixed.crops,Vicia.faba.Triticum.aestivum,1,2,1,ground,Sinapis,Brassicaceae,13,single.flower
3591,Sinapis.sp,Crop,FR,A,19/04/2021,FR_V02,Intensive.agriculture,Intensive.unmixed.crops,Vicia.faba.Triticum.aestivum,1,1,2,ground,Sinapis,Brassicaceae,5,flower.head
3697,Stellaria.media,Wild,FR,A,19/04/2021,FR_V02,Intensive.agriculture,semi.natural.grass,Grass.strip,2,1,1,ground,Stellaria,Caryophyllaceae,150,single.flower
3791,Taraxacum.officinale,Wild,FR,A,19/04/2021,FR_V02,Intensive.agriculture,Intensive.unmixed.crops,Avena.sativa,1,3,3,ground,Taraxacum,Asteraceae,2,capitulum
3907,Taraxacum.officinale,Wild,FR,A,19/04/2021,FR_V02,Intensive.agriculture,Intensive.unmixed.crops,Avena.sativa,1,3,2,ground,Taraxacum,Asteraceae,3,capitulum
4450,Veronica.hederifolia,Wild,FR,A,19/04/2021,FR_V02,Intensive.agriculture,semi.natural.grass,Grass.strip,2,1,1,ground,Veronica,Plantaginaceae,54,single.flower
4574,Vicia.faba,Crop,FR,A,19/04/2021,FR_V02,Intensive.agriculture,Intensive.unmixed.crops,Vicia.faba.Triticum.aestivum,1,2,3,ground,Vicia,Fabaceae,5,single.flower
154,Ajuga.reptans,Wild,FR,A,29/04/2021,FR_V03,Rural.habitat.mosaic,Meso.and.eutrophic.Quercus.Carpinus.Fraxinus.Acer.Tilia.Ulmus.and.related.woodland,Woodland,1,2,4,ground,Ajuga,Lamiaceae,34,single.flower
155,Ajuga.reptans,Wild,FR,A,29/04/2021,FR_V03,Rural.habitat.mosaic,Meso.and.eutrophic.Quercus.Carpinus.Fraxinus.Acer.Tilia.Ulmus.and.related.woodland,Woodland,1,3,1,ground,Ajuga,Lamiaceae,42,single.flower
156,Ajuga.reptans,Wild,FR,A,29/04/2021,FR_V03,Rural.habitat.mosaic,Meso.and.eutrophic.Quercus.Carpinus.Fraxinus.Acer.Tilia.Ulmus.and.related.woodland,Woodland,1,3,8,ground,Ajuga,Lamiaceae,3,single.flower
157,Ajuga.reptans,Wild,FR,A,29/04/2021,FR_V03,Rural.habitat.mosaic,semi.natural.grass,Grass.strip,2,1,1,ground,Ajuga,Lamiaceae,29,single.flower
158,Ajuga.reptans,Wild,FR,A,29/04/2021,FR_V03,Rural.habitat.mosaic,Meso.and.eutrophic.Quercus.Carpinus.Fraxinus.Acer.Tilia.Ulmus.and.related.woodland,Woodland,1,2,6,ground,Ajuga,Lamiaceae,9,single.flower
