Day,Month,Year,Site_id,Plant_species,Flower_count,Units,Comment,Comment
7,4,2016,Bois de Fontaret_2016,Crepis foetida,0.5,Percentage per 1 hectar,"Botanic inventory compiled using the Braun-Blanquet method, and here transformed in covering percentages per 1 hectar of sampling surface",Data from paper #1
7,4,2016,Bois de Fontaret_2016,Taraxacum sp.,0.5,Percentage per 1 hectar,"Botanic inventory compiled using the Braun-Blanquet method, and here transformed in covering percentages per 1 hectar of sampling surface",Data from paper #1
7,4,2016,Bois de Fontaret_2016,Veronica persica,0.5,Percentage per 1 hectar,"Botanic inventory compiled using the Braun-Blanquet method, and here transformed in covering percentages per 1 hectar of sampling surface",Data from paper #1
3,5,2016,Bois de Fontaret_2016,Crepis foetida,5,Percentage per 1 hectar,"Botanic inventory compiled using the Braun-Blanquet method, and here transformed in covering percentages per 1 hectar of sampling surface",Data from paper #1
3,5,2016,Bois de Fontaret_2016,Euphorbia cyparissias,5,Percentage per 1 hectar,"Botanic inventory compiled using the Braun-Blanquet method, and here transformed in covering percentages per 1 hectar of sampling surface",Data from paper #1
3,5,2016,Bois de Fontaret_2016,Globularia vulgaris,35,Percentage per 1 hectar,"Botanic inventory compiled using the Braun-Blanquet method, and here transformed in covering percentages per 1 hectar of sampling surface",Data from paper #1
3,5,2016,Bois de Fontaret_2016,Potentilla neumanniana,5,Percentage per 1 hectar,"Botanic inventory compiled using the Braun-Blanquet method, and here transformed in covering percentages per 1 hectar of sampling surface",Data from paper #1
3,5,2016,Bois de Fontaret_2016,Ranunculus bulbosus,0.5,Percentage per 1 hectar,"Botanic inventory compiled using the Braun-Blanquet method, and here transformed in covering percentages per 1 hectar of sampling surface",Data from paper #1
3,5,2016,Bois de Fontaret_2016,Ranunculus gramineus,5,Percentage per 1 hectar,"Botanic inventory compiled using the Braun-Blanquet method, and here transformed in covering percentages per 1 hectar of sampling surface",Data from paper #1
3,5,2016,Bois de Fontaret_2016,Taraxacum sp.,5,Percentage per 1 hectar,"Botanic inventory compiled using the Braun-Blanquet method, and here transformed in covering percentages per 1 hectar of sampling surface",Data from paper #1
