Plant_species,Pollinator_species,Interaction,Sampling_method,Sampling_effort_minutes,Sampling_area_square_meters,Site_id,Habitat,Country,Locality,Latitude,Longitude,Coordinate_precision,Elevation,Day,Month,Year,Comments,Temperature,Humidity
Chamaemelum fuscatum,Andrena flavipes,9,random census walking,240,8790,ValePrazeres_2021_abr_pasture,pasture,Portugal,Vale de Prazeres,40.100584,-7.404935,1000 m,470,18,4,2021,NA,NA,NA
Chamaemelum fuscatum,Andrena sp.,4,random census walking,240,8790,ValePrazeres_2021_abr_pasture,pasture,Portugal,Vale de Prazeres,40.100584,-7.404935,1000 m,470,18,4,2021,NA,NA,NA
Chamaemelum fuscatum,Anthophora sp.,1,random census walking,240,8790,ValePrazeres_2021_abr_pasture,pasture,Portugal,Vale de Prazeres,40.100584,-7.404935,1000 m,470,18,4,2021,NA,NA,NA
Chamaemelum fuscatum,Anthophila,6,random census walking,240,8790,ValePrazeres_2021_abr_pasture,pasture,Portugal,Vale de Prazeres,40.100584,-7.404935,1000 m,470,18,4,2021,NA,NA,NA
Chamaemelum fuscatum,Calliphoridae,3,random census walking,240,8790,ValePrazeres_2021_abr_pasture,pasture,Portugal,Vale de Prazeres,40.100584,-7.404935,1000 m,470,18,4,2021,NA,NA,NA
Chamaemelum fuscatum,Coleoptera,1,random census walking,240,8790,ValePrazeres_2021_abr_pasture,pasture,Portugal,Vale de Prazeres,40.100584,-7.404935,1000 m,470,18,4,2021,NA,NA,NA
Chamaemelum fuscatum,Diptera,1,random census walking,240,8790,ValePrazeres_2021_abr_pasture,pasture,Portugal,Vale de Prazeres,40.100584,-7.404935,1000 m,470,18,4,2021,NA,NA,NA
Chamaemelum fuscatum,Eristalis sp.,1,random census walking,240,8790,ValePrazeres_2021_abr_pasture,pasture,Portugal,Vale de Prazeres,40.100584,-7.404935,1000 m,470,18,4,2021,NA,NA,NA
Chamaemelum fuscatum,Oxythyrea funesta,2,random census walking,240,8790,ValePrazeres_2021_abr_pasture,pasture,Portugal,Vale de Prazeres,40.100584,-7.404935,1000 m,470,18,4,2021,NA,NA,NA
Chamaemelum fuscatum,Sphaerophoria scripta,2,random census walking,240,8790,ValePrazeres_2021_abr_pasture,pasture,Portugal,Vale de Prazeres,40.100584,-7.404935,1000 m,470,18,4,2021,NA,NA,NA
Chamaemelum fuscatum,Syrphidae,5,random census walking,240,8790,ValePrazeres_2021_abr_pasture,pasture,Portugal,Vale de Prazeres,40.100584,-7.404935,1000 m,470,18,4,2021,NA,NA,NA
Coleostephus myconis,Anthophila,1,random census walking,240,8790,ValePrazeres_2021_abr_pasture,pasture,Portugal,Vale de Prazeres,40.100584,-7.404935,1000 m,470,18,4,2021,NA,NA,NA
Coleostephus myconis,Coleoptera,1,random census walking,240,8790,ValePrazeres_2021_abr_pasture,pasture,Portugal,Vale de Prazeres,40.100584,-7.404935,1000 m,470,18,4,2021,NA,NA,NA
Coleostephus myconis,Diptera,1,random census walking,240,8790,ValePrazeres_2021_abr_pasture,pasture,Portugal,Vale de Prazeres,40.100584,-7.404935,1000 m,470,18,4,2021,NA,NA,NA
Coleostephus myconis,Eristalis cf. tenax,1,random census walking,240,8790,ValePrazeres_2021_abr_pasture,pasture,Portugal,Vale de Prazeres,40.100584,-7.404935,1000 m,470,18,4,2021,NA,NA,NA
Coleostephus myconis,Eristalis sp.,4,random census walking,240,8790,ValePrazeres_2021_abr_pasture,pasture,Portugal,Vale de Prazeres,40.100584,-7.404935,1000 m,470,18,4,2021,NA,NA,NA
Coleostephus myconis,Heliotaurus ruficollis,1,random census walking,240,8790,ValePrazeres_2021_abr_pasture,pasture,Portugal,Vale de Prazeres,40.100584,-7.404935,1000 m,470,18,4,2021,NA,NA,NA
Coleostephus myconis,Oxythyrea funesta,3,random census walking,240,8790,ValePrazeres_2021_abr_pasture,pasture,Portugal,Vale de Prazeres,40.100584,-7.404935,1000 m,470,18,4,2021,NA,NA,NA
Coleostephus myconis,Sphaerophoria scripta,4,random census walking,240,8790,ValePrazeres_2021_abr_pasture,pasture,Portugal,Vale de Prazeres,40.100584,-7.404935,1000 m,470,18,4,2021,NA,NA,NA
Coleostephus myconis,Syrphidae,3,random census walking,240,8790,ValePrazeres_2021_abr_pasture,pasture,Portugal,Vale de Prazeres,40.100584,-7.404935,1000 m,470,18,4,2021,NA,NA,NA
Echium plantagineum,Andrena flavipes,1,random census walking,240,8790,ValePrazeres_2021_abr_pasture,pasture,Portugal,Vale de Prazeres,40.100584,-7.404935,1000 m,470,18,4,2021,NA,NA,NA
Echium plantagineum,Anthophora sp.,2,random census walking,240,8790,ValePrazeres_2021_abr_pasture,pasture,Portugal,Vale de Prazeres,40.100584,-7.404935,1000 m,470,18,4,2021,NA,NA,NA
