Day,Month,Year,Site_id,Plant_species,Flower_count,FloralArea,Comment
13,5,2011,Aoife.O'Rourke_Ark_1_CD3,Plantago.lanceolata,NA,NA,
20,6,2011,Aoife.O'Rourke_Ark_2_CD3,Leontodon.hispidus,NA,NA,
11,7,2011,Aoife.O'Rourke_Ark_3_CD3,Galium.verum,NA,NA,
11,7,2011,Aoife.O'Rourke_Ark_3_CD3,Leontodon.saxatilis,NA,NA,
13,5,2011,Aoife.O'Rourke_Ark_1_CD3,Lotus.corniculatus,NA,NA,
13,5,2011,Aoife.O'Rourke_Ark_1_CD3,Pilosella.officinarum,NA,NA,
13,5,2011,Aoife.O'Rourke_Ark_1_CD3,Polygala.vulgaris,NA,NA,
16,6,2011,Aoife.O'Rourke_Ark_2_CD3,Lotus.corniculatus,NA,NA,
20,6,2011,Aoife.O'Rourke_Ark_2_CD3,Knautia.arvensis,NA,NA,
20,6,2011,Aoife.O'Rourke_Ark_2_CD3,Lotus.corniculatus,NA,NA,
20,6,2011,Aoife.O'Rourke_Ark_2_CD3,Rubus.fruticosus,NA,NA,
11,7,2011,Aoife.O'Rourke_Ark_3_CD3,Hypochaeris.radicata,NA,NA,
13,5,2011,Aoife.O'Rourke_Ark_1_CD3,Anthyllis.vulneraria,NA,NA,
20,6,2011,Aoife.O'Rourke_Ark_2_CD3,Hypochaeris.radicata,NA,NA,
11,7,2011,Aoife.O'Rourke_Ark_3_CD3,Anthyllis.vulneraria,NA,NA,
11,7,2011,Aoife.O'Rourke_Ark_3_CD3,Lotus.corniculatus,NA,NA,
11,7,2011,Aoife.O'Rourke_Ark_3_CD3,Ononis.repens,NA,NA,
28,6,2011,Aoife.O'Rourke_Bal_2_CD3,Hypochaeris.radicata,NA,NA,
27,7,2011,Aoife.O'Rourke_Bal_3_CD3,Daucus.carota,NA,NA,
27,7,2011,Aoife.O'Rourke_Bal_3_CD3,Leontodon.saxatilis,NA,NA,
27,7,2011,Aoife.O'Rourke_Bal_3_CD3,Rubus.fruticosus,NA,NA,
27,7,2011,Aoife.O'Rourke_Bal_3_CD3,Thymus.polytrichus,NA,NA,
2,6,2011,Aoife.O'Rourke_Bal_1_CD3,Lotus.corniculatus,NA,NA,
28,6,2011,Aoife.O'Rourke_Bal_2_CD3,Anthyllis.vulneraria,NA,NA,
28,6,2011,Aoife.O'Rourke_Bal_2_CD3,Lotus.corniculatus,NA,NA,
28,6,2011,Aoife.O'Rourke_Bal_2_CD3,Thymus.polytrichus,NA,NA,
27,7,2011,Aoife.O'Rourke_Bal_3_CD3,Hypochaeris.radicata,NA,NA,
27,7,2011,Aoife.O'Rourke_Bal_3_CD3,Plantago.lanceolata,NA,NA,
2,6,2011,Aoife.O'Rourke_Bal_1_CD3,Rubus.fruticosus,NA,NA,
28,6,2011,Aoife.O'Rourke_Bal_2_CD3,Ononis.repens,NA,NA,
28,6,2011,Aoife.O'Rourke_Bal_2_CD3,Rhinanthus.minor,NA,NA,
27,7,2011,Aoife.O'Rourke_Bal_3_CD3,Lotus.corniculatus,NA,NA,
27,7,2011,Aoife.O'Rourke_Bal_3_CD3,Ononis.repens,NA,NA,
27,7,2011,Aoife.O'Rourke_Bal_3_CD3,Trifolium.pratense,NA,NA,
27,7,2011,Aoife.O'Rourke_Bal_3_CD3,Trifolium.repens,NA,NA,
2,6,2011,Aoife.O'Rourke_Bal_1_CD3,Rosa.pimpernellifolia,NA,NA,
19,7,2011,Aoife.O'Rourke_Cah_3_CD3,Hypochaeris.radicata,NA,NA,
18,5,2011,Aoife.O'Rourke_Cah_1_CD3,Lotus.corniculatus,NA,NA,
18,5,2011,Aoife.O'Rourke_Cah_1_CD3,Pilosella.officinarum,NA,NA,
14,6,2011,Aoife.O'Rourke_Cah_2_CD3,Anacamptis.pyramidalis,NA,NA,
14,6,2011,Aoife.O'Rourke_Cah_2_CD3,Anthyllis.vulneraria,NA,NA,
14,6,2011,Aoife.O'Rourke_Cah_2_CD3,Lotus.corniculatus,NA,NA,
19,7,2011,Aoife.O'Rourke_Cah_3_CD3,Centaurium.littorale,NA,NA,
14,6,2011,Aoife.O'Rourke_Cah_2_CD3,Pilosella.officinarum,NA,NA,
19,7,2011,Aoife.O'Rourke_Cah_3_CD3,Crepis.sp,NA,NA,
1,6,2011,Aoife.O'Rourke_Cur_1_CD3,Ranunculus.bulbosus,NA,NA,
21,7,2011,Aoife.O'Rourke_Cur_3_CD3,Daucus.carota,NA,NA,
1,6,2011,Aoife.O'Rourke_Cur_1_CD3,Anthyllis.vulneraria,NA,NA,
1,6,2011,Aoife.O'Rourke_Cur_1_CD3,Lotus.corniculatus,NA,NA,
27,6,2011,Aoife.O'Rourke_Cur_2_CD3,Anacamptis.pyramidalis,NA,NA,
27,6,2011,Aoife.O'Rourke_Cur_2_CD3,Anthyllis.vulneraria,NA,NA,
27,6,2011,Aoife.O'Rourke_Cur_2_CD3,Crepis.sp,NA,NA,
27,6,2011,Aoife.O'Rourke_Cur_2_CD3,Hypochaeris.radicata,NA,NA,
27,6,2011,Aoife.O'Rourke_Cur_2_CD3,Lotus.corniculatus,NA,NA,
27,6,2011,Aoife.O'Rourke_Cur_2_CD3,Pilosella.officinarum,NA,NA,
