Day,Month,Year,Site_id,Plant_species,Flower_count,Units,Comment
14,7,2017,Ghe_ari,Achillea millefolium,90,flowers or inflorescences,NA
14,7,2017,Ghe_ari,Arnica montana,93,flowers or inflorescences,NA
14,7,2017,Ghe_ari,Astrantia major,43,flowers or inflorescences,NA
14,7,2017,Ghe_ari,Campanula persicifolia,22,flowers or inflorescences,NA
14,7,2017,Ghe_ari,Campanula serrata,35,flowers or inflorescences,NA
14,7,2017,Ghe_ari,Centaurea ausiaca,58,flowers or inflorescences,NA
14,7,2017,Ghe_ari,Centaurea phrygia,1,flowers or inflorescences,NA
14,7,2017,Ghe_ari,Cirsium erysithales,75,flowers or inflorescences,NA
14,7,2017,Ghe_ari,Dianthus carthusianorum,84,flowers or inflorescences,NA
14,7,2017,Ghe_ari,Euphrasia rostkoviana,13,flowers or inflorescences,NA
14,7,2017,Ghe_ari,Galium album,19,flowers or inflorescences,NA
14,7,2017,Ghe_ari,Galium verum,16,flowers or inflorescences,NA
14,7,2017,Ghe_ari,Gentianella praecox,8,flowers or inflorescences,NA
14,7,2017,Ghe_ari,Helianthemum nummularium,51,flowers or inflorescences,NA
14,7,2017,Ghe_ari,Heracleum sphondylium,61,flowers or inflorescences,NA
14,7,2017,Ghe_ari,Hypericum perforatum ,74,flowers or inflorescences,NA
14,7,2017,Ghe_ari,Knautia dipsacifolia,186,flowers or inflorescences,NA
14,7,2017,Ghe_ari,Leontodon hispidus,25,flowers or inflorescences,NA
14,7,2017,Ghe_ari,Leucanthemum vulgare,118,flowers or inflorescences,NA
14,7,2017,Ghe_ari,Lotus corniculatus,34,flowers or inflorescences,NA
14,7,2017,Ghe_ari,Melampyrum sylvaticum,5,flowers or inflorescences,NA
14,7,2017,Ghe_ari,Pimpinella major,94,flowers or inflorescences,NA
14,7,2017,Ghe_ari,Polygala vulgaris,2,flowers or inflorescences,NA
14,7,2017,Ghe_ari,Potentilla erecta,21,flowers or inflorescences,NA
14,7,2017,Ghe_ari,Salvia verticillata,15,flowers or inflorescences,NA
14,7,2017,Ghe_ari,Scabiosa columbaria,346,flowers or inflorescences,NA
14,7,2017,Ghe_ari,Sonchus arvensis,88,flowers or inflorescences,NA
14,7,2017,Ghe_ari,Stellaria graminea,19,flowers or inflorescences,NA
14,7,2017,Ghe_ari,Thymus pulegioides,109,flowers or inflorescences,NA
14,7,2017,Ghe_ari,Trifolium montanum,37,flowers or inflorescences,NA
14,7,2017,Ghe_ari,Trifolium pratense,32,flowers or inflorescences,NA
14,7,2017,Ghe_ari,Trollius europaeus,32,flowers or inflorescences,NA
14,7,2017,Ghe_ari,Viola declinata,5,flowers or inflorescences,NA
