network_ID,country,number_of_samples_per_transect,area_name,site,year,month,day,date,beginning_hour,beginning_minute,end_hour,end_minute,habitat_type,detailed_description_of_habitat_(Czech),lat,lon,local_solar_time_[hours],sampling_duration_[hours],day_of_the_year,alt,BIO1,BIO2,BIO3,BIO4,BIO5,BIO6,BIO7,BIO8,BIO9,BIO10,BIO11,BIO12,BIO13,BIO14,BIO15,BIO16,BIO17,BIO18,BIO19
1,CZ,1,Šumava,Milíkov,2013,5,21,21/ 5/ 2013,11,9,12,25,meadow,"rozkvetlá louka s porostem do půl metru, místy mokrá, poblíž potok a rašeliništní smrčák",49.14912,13.69516,10.696344,1.2666667,141,752,60,88,31,6903,209,-71,280,147,13,147,-30,922,109,57,22,304,180,304,214
2,CZ,1,Břeclavsko,Milovická stráň,2013,5,29,29/ 5/ 2013,16,9,16,43,steppe,"suchá sprašová step na strmém svahu exponovaném na západ, vegetace spíš řidší, ale lokálně zahuštěná, okolo prosluněné lesy",48.84933,16.69192,15.546151,0.5666667,149,240,90,92,31,7290,249,-47,296,181,8,181,-6,587,80,30,36,225,93,225,96
3,CZ,1,Krkonoše,Janské Lázně,2013,6,9,9/ 6/ 2013,9,0,10,0,alpine_grassland,"dlouho nesečený horní okraj sjezdovky, variabilita ve výšce i hustotě porostu (ale menší než u 2)",50.63241,15.79815,8.553210,1.0000000,160,630,57,76,27,7058,197,-79,276,142,-27,142,-40,734,97,37,36,283,116,283,120
4,CZ,1,Praha,Cikánka,2013,6,9,9/ 6/ 2013,15,28,16,0,steppe,"kavilová step s mnoha květy v podrostu, variabilní hustota vegetace, podrost nízký, nad tím místy porost kavilu",49.99947,14.32074,14.688049,0.5333333,160,308,85,91,32,7020,240,-44,284,174,-6,174,-6,511,73,20,46,212,68,212,68
5,CZ,1,Podyjí,Havranické vřesoviště,2013,6,29,29/ 6/ 2013,11,25,12,20,steppe,"suché výslunné vřesoviště s nízkou vegetací, jen místy hustší porost chráněný keřem",48.81007,15.99597,10.941398,0.9166667,180,323,86,93,31,7128,243,-48,291,176,6,176,-7,621,83,31,35,236,101,236,103
6,CZ,1,Podyjí,Louka pod Šobesem,2013,6,30,30/ 6/ 2013,11,30,12,25,meadow,"vzrostlá louka, vegetace místy přes metr, na většině plochy však nižší, okolo lesy a řeka, za lesem vinice",48.81221,15.97813,11.023542,0.9166667,181,275,89,93,31,7176,247,-46,293,179,9,179,-5,607,81,30,35,231,98,231,100
7,CZ,1,Podyjí,Šobes,2013,6,30,30/ 6/ 2013,14,20,15,23,steppe,"výslunná stráň nad ovocným sadem a vinicemi, většinou nižší a řidší vegetace, poblíž řídká doubrava",48.81767,15.97645,13.923430,1.0500000,181,294,90,94,32,7199,248,-45,293,181,10,181,-4,601,81,29,36,230,96,230,97
8,AT,1,Podyjí,Retzbach,2013,7,1,1/ 7/ 2013,14,30,15,55,field_margin,"remízek mezi vinicemi, nízký porost, okolo členitá zemědělská krajina",48.78565,15.96398,14.272599,1.4166667,182,322,86,93,31,7126,243,-48,291,176,7,176,-7,624,83,31,35,237,102,237,103
9,CZ,1,Velkomeziříčsko,Fajtův kopec,2013,7,5,5/ 7/ 2013,15,43,16,30,meadow,"středně hustě porostlá louka s porostem do půl metru, mezi polem a zahrádkářskou osadou",49.35696,16.03077,15.177051,0.7833333,186,483,74,86,30,7011,224,-58,282,161,-6,161,-19,632,87,31,39,251,97,251,99
10,CZ,1,Velkomeziříčsko,Křižanov,2013,7,7,7/ 7/ 2013,13,35,14,10,ruderal,"hodně hustá tráva, variabilní výška, spíš vysoká, eutrofní, u železnice a hnusopolí",49.39496,16.07815,12.946877,0.5833333,188,549,70,85,30,6962,218,-61,279,157,-9,157,-22,651,90,32,39,258,100,258,103
