X,Y,OBJECTID,SHAPE_Leng,SHAPE_Area,Study_site,Area_Feli,ORIG_FID
567973.8913,5697001.771,1979,0,6984.95,Heikenrott,82,29
553475.5947,5698043.345,67,105.0181047,144.0531168,Lieseberg,144,15
554926.4328,5716616.365,102,89.52146194,226.8662563,Zipfel am Lindenberg,227,27
553003.867,5710443.548,79,104.5533326,227.6728416,Mühlenberg 2,228,18
560566.1137,5696254.442,29,159.5541396,352.602872,Gieseberg-Süd,353,8
558574.4397,5698739.033,19,113.2991227,380.5133221,Emme,381,6
553891.302,5699896.502,97,339.9143341,405.8460472,Unter den Niederwiesen,406,24
565249.1555,5697262.28,14,159.5702997,693.4392732,Am Hopfenberge,693,4
565733.6752,5716175.269,84,326.2795474,700.5129197,Schweineberg,701,20
578756.6863,5699038.319,13,212.3302101,724.1787889,Auf dem Klee,724,3
554620.0822,5694684.853,98,356.6268519,1461.502765,Vor dem roten Berge,1462,25
572839.7414,5700952.48,26,380.9085693,1860.777215,Eschenberg,1861,7
558537.3823,5714311.577,57,660.8157085,3464.869587,Kuhberg,3465,13
569080.1799,5703171.668,54,409.447482,3466.938659,Kleiner Knull,3467,12
555476.3135,5707979.567,82,619.8966949,3504.272981,Ossenfelder Bahndamm,3504,19
551132.9287,5711765.68,90,617.1031698,2503.662552,Südlicher Riesenberg,3535,22
558572.3153,5699926.292,94,705.1222942,4131.655741,Tiefetal,4132,23
554673.6171,5716514.875,12,771.5016159,5535.07734,Am Graben,5535,2
554131.4815,5694153.768,38,729.8499356,5822.643592,Hackelberg,5823,10
553039.156,5695159.068,99,636.4415377,6641.408557,Weinberg,6641,26
558122.7957,5721732.745,37,826.6935159,4969.991719,Gladeberg,7288,9
572395.8243,5711826.132,1,941.7917345,7641.124682,Burgbreite,7641,0
555169.1709,5700004.205,71,1934.507842,11612.11805,Mackenrodt,11612,16
553622.5917,5706356.796,7,1658.232163,10114.84291,Dehnerberg,12724,1
570492.7067,5706656.439,63,1635.638975,12949.13669,Lengder Burg,16804,14
564959.6312,5696333.341,103,4156.702304,33186.25785,Ellershagen,33186,28
558353.0913,5716477.811,18,2403.661239,35479.0991,Aschenburg,35479,5
552892.3901,5710066.236,76,5374.946783,59087.30217,Mühlenberg,50673,17
551927.0321,5701540.428,46,4495.867585,36033.2664,Huhnsberg,52557,11
