Plant_species,Site,Round,Date,Flower_number,Flower_numer_in_transect
Aethorriza bulbola,BAT1CA,0,28/3/05,6,2
Alyssum maritimum,BAT1CA,0,28/3/05,14,5
Euphorbea,BAT1CA,0,28/3/05,22,5
Lathirus clymenum,BAT1CA,0,28/3/05,0,0
Lavandula stoechas,BAT1CA,0,28/3/05,24,154
Sonchus tenerrinus,BAT1CA,0,28/3/05,0,0
Thymelea hirsuta,BAT1CA,0,28/3/05,267,1345
Aethorriza bulbola,BAT2CA,0,28/3/05,6,4
Alyssum maritimum,BAT2CA,0,28/3/05,15,42
Carpobrotus,BAT2CA,0,28/3/05,4,0
Euphorbea,BAT2CA,0,28/3/05,18,13
Lathirus clymenum,BAT2CA,0,28/3/05,0,0
Lavandula stoechas,BAT2CA,0,28/3/05,22,46
Sonchus tenerrinus,BAT2CA,0,28/3/05,0,0
Thymelea hirsuta,BAT2CA,0,28/3/05,275,1111
Cistus albidus,MED1CA,1,14/4/05,30,35
Cistus monspeliensis,MED1CA,1,14/4/05,0,0
Cistus salvifolius,MED1CA,1,14/4/05,14,12
Lathirus clymenum,MED1CA,1,14/4/05,0,0
Lavandula stoechas,MED1CA,1,14/4/05,45,53
Rosmarinus officinalis,MED1CA,1,14/4/05,68,321
Sonchus tenerrinus,MED1CA,1,14/4/05,7,2
Carpobrotus,MED2CA,1,14/4/05,3,0
Cistus albidus,MED2CA,1,14/4/05,53,19
Cistus monspeliensis,MED2CA,1,14/4/05,0,0
Cistus salvifolius,MED2CA,1,14/4/05,12,23
Lathirus clymenum,MED2CA,1,14/4/05,0,0
Lavandula stoechas,MED2CA,1,14/4/05,40,43
Rosmarinus officinalis,MED2CA,1,14/4/05,72,256
Sonchus tenerrinus,MED2CA,1,14/4/05,6,3
Cistus albidus,MED3CA,1,14/4/05,35,54
Cistus monspeliensis,MED3CA,1,14/4/05,0,0
Cistus salvifolius,MED3CA,1,14/4/05,16,13
Dorichnium pentalilum,MED3CA,1,14/4/05,0,0
Lathirus clymenum,MED3CA,1,14/4/05,0,0
Lavandula stoechas,MED3CA,1,14/4/05,35,26
Rosmarinus officinalis,MED3CA,1,14/4/05,70,231
Sonchus tenerrinus,MED3CA,1,14/4/05,7,6
Cistus albidus,MED4CA,1,14/4/05,25,33
Cistus monspeliensis,MED4CA,1,14/4/05,0,0
Cistus salvifolius,MED4CA,1,14/4/05,12,21
Dorichnium pentalilum,MED4CA,1,14/4/05,0,0
Lathirus clymenum,MED4CA,1,14/4/05,0,0
Lavandula stoechas,MED4CA,1,14/4/05,30,43
Rosmarinus officinalis,MED4CA,1,14/4/05,65,220
Sonchus tenerrinus,MED4CA,1,14/4/05,12,11
Psoralea bituinosa,SEL1OP,1,8/6/05,16,68
Linum,SEL1OP,1,8/6/05,19,34
Daucus carota,SEL1OP,1,8/6/05,6,21
Hipericum,SEL1OP,1,8/6/05,9,2
Ruta,SEL1OP,1,8/6/05,36,45
Sedum,SEL1OP,1,8/6/05,0,0
Helicrisum stoecas,SEL1OP,1,8/6/05,30,18
Dianthus,SEL1OP,1,8/6/05,0,0
Chicoria,SEL1OP,1,8/6/05,5,4
Opuntia,SEL2OP,1,8/6/05,8,12
Psoralea bituinosa,SEL2OP,1,8/6/05,15,76
Linum,SEL2OP,1,8/6/05,18,31
Sonchus,SEL2OP,1,8/6/05,3,2
Sedum,SEL2OP,1,8/6/05,0,0
Daucus carota,SEL2OP,1,8/6/05,6,5
Hipericum,SEL2OP,1,8/6/05,10,2
Dianthus,SEL2OP,1,8/6/05,0,0
Ruta,SEL2OP,1,8/6/05,38,38
Convonvulus,SEL2OP,1,8/6/05,5,1
Sonchus,FRA1OP,1,9/6/05,14,215
Daucus carota,FRA1OP,1,9/6/05,6,35
Urospermum,FRA1OP,1,9/6/05,7,12
Convonvulus,FRA1OP,1,9/6/05,13,134
Brasica,FRA1OP,1,9/6/05,24,42
Linum,FRA1OP,1,9/6/05,6,38
Alyssum maritimum,FRA1OP,1,9/6/05,8,24
Psoralea bituminosa,FRA1OP,1,9/6/05,6,7
Sedum,FRA1OP,1,9/6/05,0,0
Equium,FRA1OP,1,9/6/05,21,12
Galactites tomentosa,FRA1OP,1,9/6/05,3,2
Chicoria,FRA1OP,1,9/6/05,4,2
Fumaria,FRA1OP,1,9/6/05,31,0
Eryngium,FRA1OP,1,9/6/05,9,4
Opuntia,FRA2OP,1,9/6/05,7,12
Daucus carota,FRA2OP,1,9/6/05,6,23
Convonvulus,FRA2OP,1,9/6/05,14,98
Sedum,FRA2OP,1,9/6/05,0,0
Sonchus,FRA2OP,1,9/6/05,9,187
Galactites tomentosa,FRA2OP,1,9/6/05,3,3
Psoralea bituminosa,FRA2OP,1,9/6/05,4,2
Eryngium,FRA2OP,1,9/6/05,0,0
Urospermum,FRA2OP,1,9/6/05,7,12
Allium,FRA2OP,1,9/6/05,0,0
Alyssum maritimum,FRA2OP,1,9/6/05,9,23
Scabiosa,MIQ1OP,1,10/6/05,14,67
Sonchus,MIQ1OP,1,10/6/05,16,87
Urospermum,MIQ1OP,1,10/6/05,7,16
Convonvulus,MIQ1OP,1,10/6/05,8,32
Psoralea,MIQ1OP,1,10/6/05,4,2
Daucus,MIQ1OP,1,10/6/05,6,23
Equium,MIQ1OP,1,10/6/05,21,3
Sedum,MIQ1OP,1,10/6/05,0,0
Galactites,MIQ1OP,1,10/6/05,3,2
Brasica,MIQ1OP,1,10/6/05,36,2
Opuntia,MIQ2OP,1,10/6/05,7,6
Scabiosa,MIQ2OP,1,10/6/05,13,54
Daucus,MIQ2OP,1,10/6/05,6,11
