Plant_species,Pollinator_species,Interaction,Sampling_method,Sampling_effort_minutes,Sampling_area_square_meters,Site_id,Habitat,Country,Locality,Latitude,Longitude,Coordinate_precision,Elevation,Day,Month,Year,Comments,Temperature,Humidity
Achillea millefolium,Eristalis arbustorum,5,Transect,NA,200,Vasterby_Laby,Continous,Sweeden,NA,59.85004787,17.51418875,NA,NA,NA,NA,2021,NA,NA,NA
Achillea millefolium,Eristalis interrupta,32,Transect,NA,200,Eke_Vidbo,Abandoned,Sweeden,NA,59.69679412,17.96520865,NA,NA,NA,NA,2021,NA,NA,NA
Achillea millefolium,Eristalis interrupta,17,Transect,NA,200,Forsbacka_Rimbo,Restored,Sweeden,NA,59.78770674,18.22381824,NA,NA,NA,NA,2021,NA,NA,NA
Achillea millefolium,Eristalis interrupta,9,Transect,NA,200,Paris_Vange,Continous,Sweeden,NA,59.83827009,17.3811804,NA,NA,NA,NA,2021,NA,NA,NA
Achillea millefolium,Helophilus pendulus,5,Transect,NA,200,Paris_Vange,Continous,Sweeden,NA,59.83827009,17.3811804,NA,NA,NA,NA,2021,NA,NA,NA
Achillea millefolium,Melanostoma mellinum,5,Transect,NA,200,Norrby_Vidbo,Continous,Sweeden,NA,59.71242273,17.99143162,NA,NA,NA,NA,2021,NA,NA,NA
Achillea millefolium,Sericomyia silentis,4,Transect,NA,200,Forsbacka_Rimbo,Restored,Sweeden,NA,59.78770674,18.22381824,NA,NA,NA,NA,2021,NA,NA,NA
Achillea millefolium,Sphaerophoria scripta,5,Transect,NA,200,Tjarns_Hage,Restored,Sweeden,NA,59.56227027,16.86268497,NA,NA,NA,NA,2021,NA,NA,NA
Achillea millefolium,Sphaerophoria scripta,5,Transect,NA,200,Vasterby_Laby,Continous,Sweeden,NA,59.85004787,17.51418875,NA,NA,NA,NA,2021,NA,NA,NA
Achillea millefolium,Syritta pipiens,5,Transect,NA,200,Vasterby_Laby,Continous,Sweeden,NA,59.85004787,17.51418875,NA,NA,NA,NA,2021,NA,NA,NA
Achillea millefolium,Syrphus ribesii,5,Transect,NA,200,Tjarns_Hage,Restored,Sweeden,NA,59.56227027,16.86268497,NA,NA,NA,NA,2021,NA,NA,NA
Achillea millefolium,Syrphus ribesii,4,Transect,NA,200,Tyringe,Restored,Sweeden,NA,59.31617349,15.91195665,NA,NA,NA,NA,2021,NA,NA,NA
Achillea millefolium,Syrphus vitripennis,10,Transect,NA,200,Tjarns_Hage,Restored,Sweeden,NA,59.56227027,16.86268497,NA,NA,NA,NA,2021,NA,NA,NA
Achillea millefolium,Xylota florum,5,Transect,NA,200,Norrby_Vidbo,Continous,Sweeden,NA,59.71242273,17.99143162,NA,NA,NA,NA,2021,NA,NA,NA
Ajuga pyramidalis,Bombus pascuorum,1,Transect,NA,200,Johns_hage_Valla,Restored,Sweeden,NA,58.28666555,14.82287316,NA,NA,NA,NA,2021,NA,NA,NA
Anemone nemorosa,Osmia bicolor,1,Transect,NA,200,Vasterby_Laby,Continous,Sweeden,NA,59.85004787,17.51418875,NA,NA,NA,NA,2021,NA,NA,NA
Anemone nemorosa,Syrphus torvus,1,Transect,NA,200,Forsbacka_Rimbo,Restored,Sweeden,NA,59.78770674,18.22381824,NA,NA,NA,NA,2021,NA,NA,NA
Anthriscus sylvestris,Apis mellifera,6,Transect,NA,200,Eke_Vidbo,Abandoned,Sweeden,NA,59.69679412,17.96520865,NA,NA,NA,NA,2021,NA,NA,NA
Anthriscus sylvestris,Bombus lucorum,2,Transect,NA,200,Norrang_Ryckelsby,Abandoned,Sweeden,NA,58.26316629,15.01199565,NA,NA,NA,NA,2021,NA,NA,NA
Anthriscus sylvestris,Episyrphus balteatus,3,Transect,NA,200,Storsatra_Vange,Abandoned,Sweeden,NA,59.85746296,17.35863443,NA,NA,NA,NA,2021,NA,NA,NA
Anthriscus sylvestris,Eristalis interrupta,3,Transect,NA,200,Bullerum,Restored,Sweeden,NA,58.27413848,16.20877911,NA,NA,NA,NA,2021,NA,NA,NA
Anthriscus sylvestris,Eristalis lineata,2,Transect,NA,200,Sattra_Angar,Continous,Sweeden,NA,58.26080789,14.80262159,NA,NA,NA,NA,2021,NA,NA,NA
Anthriscus sylvestris,Eristalis pseudorupium,3,Transect,NA,200,Paris_Vange,Continous,Sweeden,NA,59.83827009,17.3811804,NA,NA,NA,NA,2021,NA,NA,NA
Anthriscus sylvestris,Eristalis rupium,3,Transect,NA,200,Norrang_Ryckelsby,Abandoned,Sweeden,NA,58.26316629,15.01199565,NA,NA,NA,NA,2021,NA,NA,NA
Anthriscus sylvestris,Helophilus hybridus,3,Transect,NA,200,Storsatra_Vange,Abandoned,Sweeden,NA,59.85746296,17.35863443,NA,NA,NA,NA,2021,NA,NA,NA
Anthriscus sylvestris,Lasioglossum albipes,3,Transect,NA,200,Eke_Vidbo,Abandoned,Sweeden,NA,59.69679412,17.96520865,NA,NA,NA,NA,2021,NA,NA,NA
Anthriscus sylvestris,Melanostoma mellinum,2,Transect,NA,200,Eke_Vidbo,Abandoned,Sweeden,NA,59.69679412,17.96520865,NA,NA,NA,NA,2021,NA,NA,NA
Anthriscus sylvestris,Melanostoma mellinum,2,Transect,NA,200,Norrang_Ryckelsby,Abandoned,Sweeden,NA,58.26316629,15.01199565,NA,NA,NA,NA,2021,NA,NA,NA
Anthriscus sylvestris,Sphaerophoria scripta,2,Transect,NA,200,Norrang_Ryckelsby,Abandoned,Sweeden,NA,58.26316629,15.01199565,NA,NA,NA,NA,2021,NA,NA,NA
Anthriscus sylvestris,Sphaerophoria taeniata,4,Transect,NA,200,Langalma,Abandoned,Sweeden,NA,60.26655997,18.46425196,NA,NA,NA,NA,2021,NA,NA,NA
Anthriscus sylvestris,Syrphus ribesii,3,Transect,NA,200,Eke_Vidbo,Abandoned,Sweeden,NA,59.69679412,17.96520865,NA,NA,NA,NA,2021,NA,NA,NA
Anthriscus sylvestris,Syrphus ribesii,3,Transect,NA,200,Gran_Rasbo,Abandoned,Sweeden,NA,59.93494989,17.82362595,NA,NA,NA,NA,2021,NA,NA,NA
Anthriscus sylvestris,Tropidia scita,3,Transect,NA,200,Graneberg_Litslena,Continous,Sweeden,NA,59.67580935,17.26749632,NA,NA,NA,NA,2021,NA,NA,NA
Campanula percifolia,Bombus pratorum,4,Transect,NA,200,Malmberga,Restored,Sweeden,NA,60.04017092,18.72357036,NA,NA,NA,NA,2021,NA,NA,NA
Campanula percifolia,Bombus soroeensis,5,Transect,NA,200,Haknas_Vassunda,Abandoned,Sweeden,NA,59.71517118,17.70562999,NA,NA,NA,NA,2021,NA,NA,NA
Campanula percifolia,Episyrphus balteatus,5,Transect,NA,200,Norrang_Ryckelsby,Abandoned,Sweeden,NA,58.26316629,15.01199565,NA,NA,NA,NA,2021,NA,NA,NA
Campanula persicifolia,Bombus lucorum,4,Transect,NA,200,Rocksta_Norrtalje,Restored,Sweeden,NA,59.81904274,18.75215783,NA,NA,NA,NA,2021,NA,NA,NA
Campanula rotundifolia,Bombus pascuorum,5,Transect,NA,200,Tjarns_Hage,Restored,Sweeden,NA,59.56227027,16.86268497,NA,NA,NA,NA,2021,NA,NA,NA
Campanula rotundifolia,Bombus pratorum,5,Transect,NA,200,Tjalinge_Skogstibble,Restored,Sweeden,NA,59.81196611,17.32520836,NA,NA,NA,NA,2021,NA,NA,NA
Campanula rotundifolia,Bombus soroeensis,5,Transect,NA,200,Andeberga_Balsta,Restored,Sweeden,NA,59.74618743,18.0624084,NA,NA,NA,NA,2021,NA,NA,NA
Campanula rotundifolia,Bombus soroeensis,5,Transect,NA,200,Reutersberg,Restored,Sweeden,NA,59.40963565,15.97297972,NA,NA,NA,NA,2021,NA,NA,NA
Campanula sp,Bombus soroeensis,4,Transect,NA,200,Malmberga,Restored,Sweeden,NA,60.04017092,18.72357036,NA,NA,NA,NA,2021,NA,NA,NA
Centaurea jacea,Bombus pascuorum,4,Transect,NA,200,Kramnas,Continous,Sweeden,NA,59.08356667,16.68964906,NA,NA,NA,NA,2021,NA,NA,NA
Centaurea jacea,Bombus pascuorum,5,Transect,NA,200,Tjalinge_Skogstibble,Restored,Sweeden,NA,59.81196611,17.32520836,NA,NA,NA,NA,2021,NA,NA,NA
Centaurea jacea,Syrphus ribesii,5,Transect,NA,200,Tjalinge_Skogstibble,Restored,Sweeden,NA,59.81196611,17.32520836,NA,NA,NA,NA,2021,NA,NA,NA
Circium vulgare,Bombus bohemicus,5,Transect,NA,200,Ahlezons hage,Restored,Sweeden,NA,60.144447,17.23909472,NA,NA,NA,NA,2021,NA,NA,NA
Circium vulgare,Bombus bohemicus,5,Transect,NA,200,Stubbetorp,Restored,Sweeden,NA,58.25003776,15.68231063,NA,NA,NA,NA,2021,NA,NA,NA
Circium vulgare,Bombus ruderarius,5,Transect,NA,200,Stubbetorp,Restored,Sweeden,NA,58.25003776,15.68231063,NA,NA,NA,NA,2021,NA,NA,NA
Circium vulgare,Didea fasciata,5,Transect,NA,200,Bullerum,Restored,Sweeden,NA,58.27413848,16.20877911,NA,NA,NA,NA,2021,NA,NA,NA
Circium vulgare,Episyrphus balteatus,5,Transect,NA,200,Ahlezons hage,Restored,Sweeden,NA,60.144447,17.23909472,NA,NA,NA,NA,2021,NA,NA,NA
Circium vulgare,Megachile versicolor,5,Transect,NA,200,Stubbetorp,Restored,Sweeden,NA,58.25003776,15.68231063,NA,NA,NA,NA,2021,NA,NA,NA
Convallaria majalis,Bombus lucorum,2,Transect,NA,200,Haknas_Vassunda,Abandoned,Sweeden,NA,59.71517118,17.70562999,NA,NA,NA,NA,2021,NA,NA,NA
Dianthus deltoides,Bombus pascuorum,5,Transect,NA,200,Kungs_Husby,Abandoned,Sweeden,NA,59.52404132,17.27777296,NA,NA,NA,NA,2021,NA,NA,NA
Dianthus deltoides,Helophilus pendulus,5,Transect,NA,200,Kungs_Husby,Abandoned,Sweeden,NA,59.52404132,17.27777296,NA,NA,NA,NA,2021,NA,NA,NA
Fabaceae,Bombus humilis,2,Transect,NA,200,Kramnas,Continous,Sweeden,NA,59.08356667,16.68964906,NA,NA,NA,NA,2021,NA,NA,NA
Filipendula ulmaria,Eristalis lineata,5,Transect,NA,200,Sattra_Angar,Continous,Sweeden,NA,58.26080789,14.80262159,NA,NA,NA,NA,2021,NA,NA,NA
Filipendula ulmaria,Sphaerophoria scripta,5,Transect,NA,200,Sattra_Angar,Continous,Sweeden,NA,58.26080789,14.80262159,NA,NA,NA,NA,2021,NA,NA,NA
Filipendula ulmaria,Syrphus ribesii,30,Transect,NA,200,Sattra_Angar,Continous,Sweeden,NA,58.26080789,14.80262159,NA,NA,NA,NA,2021,NA,NA,NA
Filipendula ulmaria,Syrphus vitripennis,30,Transect,NA,200,Sattra_Angar,Continous,Sweeden,NA,58.26080789,14.80262159,NA,NA,NA,NA,2021,NA,NA,NA
Filipendula vulgaris,Apis mellifera,6,Transect,NA,200,St_Tadlinge,Restored,Sweeden,NA,59.92268504,18.0704696,NA,NA,NA,NA,2021,NA,NA,NA
Filipendula vulgaris,Eristalis interrupta,3,Transect,NA,200,Kramnas,Continous,Sweeden,NA,59.08356667,16.68964906,NA,NA,NA,NA,2021,NA,NA,NA
Filipendula vulgaris,Eristalis interrupta,4,Transect,NA,200,Langholmsbryggan_Engso,Continous,Sweeden,NA,59.51363932,16.8816028,NA,NA,NA,NA,2021,NA,NA,NA
Filipendula vulgaris,Lasioglossum albipes,3,Transect,NA,200,Kramnas,Continous,Sweeden,NA,59.08356667,16.68964906,NA,NA,NA,NA,2021,NA,NA,NA
Filipendula vulgaris,Lasioglossum zonulum,4,Transect,NA,200,Tjarns_Hage,Restored,Sweeden,NA,59.56227027,16.86268497,NA,NA,NA,NA,2021,NA,NA,NA
Filipendula vulgaris,Sericomyia silentis,4,Transect,NA,200,Langholmsbryggan_Engso,Continous,Sweeden,NA,59.51363932,16.8816028,NA,NA,NA,NA,2021,NA,NA,NA
Fragaria vesca,Cheilosia vicina,2,Transect,NA,200,Bonderyd,Restored,Sweeden,NA,58.1922308,14.75538063,NA,NA,NA,NA,2021,NA,NA,NA
Fragaria vesca,Sphaerophoria virgata,2,Transect,NA,200,Vasterby_Laby,Continous,Sweeden,NA,59.85004787,17.51418875,NA,NA,NA,NA,2021,NA,NA,NA
Galium album,Bombus lapidarius,4,Transect,NA,200,Langholmsbryggan_Engso,Continous,Sweeden,NA,59.51363932,16.8816028,NA,NA,NA,NA,2021,NA,NA,NA
Galium album,Syrphus torvus,4,Transect,NA,200,Tjarns_Hage,Restored,Sweeden,NA,59.56227027,16.86268497,NA,NA,NA,NA,2021,NA,NA,NA
Galium album,Syrphus vitripennis,4,Transect,NA,200,Tjarns_Hage,Restored,Sweeden,NA,59.56227027,16.86268497,NA,NA,NA,NA,2021,NA,NA,NA
Galium verum,Bombus pascuorum,5,Transect,NA,200,Paris_Vange,Continous,Sweeden,NA,59.83827009,17.3811804,NA,NA,NA,NA,2021,NA,NA,NA
Galium verum,Chrysotoxum bicinctum,5,Transect,NA,200,Norrang_Ryckelsby,Abandoned,Sweeden,NA,58.26316629,15.01199565,NA,NA,NA,NA,2021,NA,NA,NA
Galium verum,Didea intermedia,5,Transect,NA,200,Graneberg_Litslena,Continous,Sweeden,NA,59.67580935,17.26749632,NA,NA,NA,NA,2021,NA,NA,NA
Galium verum,Episyrphus balteatus,10,Transect,NA,200,Norrang_Ryckelsby,Abandoned,Sweeden,NA,58.26316629,15.01199565,NA,NA,NA,NA,2021,NA,NA,NA
