Day,Month,Year,Site_id,Plant_species,Flower_count,Units,Comment,Inflorescence type
19,4,2021,FR_V02,Lamium purpureum,100-200,Flowers per square meter (sampled with horizontal 1m² frame),Sampling period 1,single.flower
19,4,2021,FR_V02,Sinapis sp,2,Flowers per square meter (sampled with horizontal 1m² frame),Sampling period 1,single.flower
19,4,2021,FR_V02,Sinapis sp,5,Flowers per square meter (sampled with horizontal 1m² frame),Sampling period 1,flower.head
19,4,2021,FR_V02,Sinapis sp,9,Flowers per square meter (sampled with horizontal 1m² frame),Sampling period 1,single.flower
19,4,2021,FR_V02,Sinapis sp,11,Flowers per square meter (sampled with horizontal 1m² frame),Sampling period 1,single.flower
19,4,2021,FR_V02,Sinapis sp,13,Flowers per square meter (sampled with horizontal 1m² frame),Sampling period 1,single.flower
19,4,2021,FR_V02,Stellaria media,100-200,Flowers per square meter (sampled with horizontal 1m² frame),Sampling period 1,single.flower
19,4,2021,FR_V02,Taraxacum officinale,2,Flowers per square meter (sampled with horizontal 1m² frame),Sampling period 1,capitulum
19,4,2021,FR_V02,Taraxacum officinale,3,Flowers per square meter (sampled with horizontal 1m² frame),Sampling period 1,capitulum
19,4,2021,FR_V02,Veronica hederifolia,54,Flowers per square meter (sampled with horizontal 1m² frame),Sampling period 1,single.flower
19,4,2021,FR_V02,Vicia faba,5,Flowers per square meter (sampled with horizontal 1m² frame),Sampling period 1,single.flower
25,5,2021,FR_V02,Galium aparine,1,Flowers per square meter (sampled with horizontal 1m² frame),Sampling period 2,cyme
25,5,2021,FR_V02,Galium aparine,4,Flowers per square meter (sampled with horizontal 1m² frame),Sampling period 2,cyme
25,5,2021,FR_V02,Galium aparine,5,Flowers per square meter (sampled with horizontal 1m² frame),Sampling period 2,cyme
25,5,2021,FR_V02,Galium aparine,6,Flowers per square meter (sampled with horizontal 1m² frame),Sampling period 2,cyme
25,5,2021,FR_V02,Galium aparine,7,Flowers per square meter (sampled with horizontal 1m² frame),Sampling period 2,cyme
25,5,2021,FR_V02,Galium aparine,9,Flowers per square meter (sampled with horizontal 1m² frame),Sampling period 2,cyme
25,5,2021,FR_V02,Galium aparine,14,Flowers per square meter (sampled with horizontal 1m² frame),Sampling period 2,cyme
25,5,2021,FR_V02,Galium aparine,31,Flowers per square meter (sampled with horizontal 1m² frame),Sampling period 2,cyme
25,5,2021,FR_V02,Galium aparine,67,Flowers per square meter (sampled with horizontal 1m² frame),Sampling period 2,cyme
25,5,2021,FR_V02,Sinapis sp,1,Flowers per square meter (sampled with horizontal 1m² frame),Sampling period 2,single.flower
25,5,2021,FR_V02,Sinapis sp,1,Flowers per square meter (sampled with horizontal 1m² frame),Sampling period 2,single.flower
25,5,2021,FR_V02,Sinapis sp,1,Flowers per square meter (sampled with horizontal 1m² frame),Sampling period 2,single.flower
25,5,2021,FR_V02,Sinapis sp,1,Flowers per square meter (sampled with horizontal 1m² frame),Sampling period 2,single.flower
25,5,2021,FR_V02,Sinapis sp,2,Flowers per square meter (sampled with horizontal 1m² frame),Sampling period 2,single.flower
25,5,2021,FR_V02,Sinapis sp,2,Flowers per square meter (sampled with horizontal 1m² frame),Sampling period 2,single.flower
25,5,2021,FR_V02,Sinapis sp,4,Flowers per square meter (sampled with horizontal 1m² frame),Sampling period 2,single.flower
25,5,2021,FR_V02,Sinapis sp,7,Flowers per square meter (sampled with horizontal 1m² frame),Sampling period 2,single.flower
25,5,2021,FR_V02,Sinapis sp,8,Flowers per square meter (sampled with horizontal 1m² frame),Sampling period 2,single.flower
25,5,2021,FR_V02,Sinapis sp,8,Flowers per square meter (sampled with horizontal 1m² frame),Sampling period 2,single.flower
25,5,2021,FR_V02,Sinapis sp,9,Flowers per square meter (sampled with horizontal 1m² frame),Sampling period 2,single.flower
25,5,2021,FR_V02,Sinapis sp,9,Flowers per square meter (sampled with horizontal 1m² frame),Sampling period 2,single.flower
25,5,2021,FR_V02,Sinapis sp,10,Flowers per square meter (sampled with horizontal 1m² frame),Sampling period 2,single.flower
25,5,2021,FR_V02,Sinapis sp,10,Flowers per square meter (sampled with horizontal 1m² frame),Sampling period 2,single.flower
25,5,2021,FR_V02,Veronica hederifolia,5,Flowers per square meter (sampled with horizontal 1m² frame),Sampling period 2,single.flower
25,5,2021,FR_V02,Vicia faba,8,Flowers per square meter (sampled with horizontal 1m² frame),Sampling period 2,single.flower
25,5,2021,FR_V02,Vicia faba,8,Flowers per square meter (sampled with horizontal 1m² frame),Sampling period 2,single.flower
25,5,2021,FR_V02,Vicia faba,8,Flowers per square meter (sampled with horizontal 1m² frame),Sampling period 2,single.flower
25,5,2021,FR_V02,Vicia faba,8,Flowers per square meter (sampled with horizontal 1m² frame),Sampling period 2,single.flower
25,5,2021,FR_V02,Vicia faba,14,Flowers per square meter (sampled with horizontal 1m² frame),Sampling period 2,single.flower
25,5,2021,FR_V02,Vicia faba,16,Flowers per square meter (sampled with horizontal 1m² frame),Sampling period 2,single.flower
25,5,2021,FR_V02,Vicia faba,16,Flowers per square meter (sampled with horizontal 1m² frame),Sampling period 2,single.flower
25,5,2021,FR_V02,Vicia faba,17,Flowers per square meter (sampled with horizontal 1m² frame),Sampling period 2,single.flower
25,5,2021,FR_V02,Vicia faba,17,Flowers per square meter (sampled with horizontal 1m² frame),Sampling period 2,single.flower
25,5,2021,FR_V02,Vicia faba,19,Flowers per square meter (sampled with horizontal 1m² frame),Sampling period 2,single.flower
25,5,2021,FR_V02,Vicia faba,19,Flowers per square meter (sampled with horizontal 1m² frame),Sampling period 2,single.flower
25,5,2021,FR_V02,Vicia faba,24,Flowers per square meter (sampled with horizontal 1m² frame),Sampling period 2,single.flower
25,5,2021,FR_V02,Vicia faba,25,Flowers per square meter (sampled with horizontal 1m² frame),Sampling period 2,single.flower
25,5,2021,FR_V02,Vicia faba,33,Flowers per square meter (sampled with horizontal 1m² frame),Sampling period 2,single.flower
25,5,2021,FR_V02,Vicia faba,39,Flowers per square meter (sampled with horizontal 1m² frame),Sampling period 2,single.flower
25,5,2021,FR_V02,Vicia faba,46,Flowers per square meter (sampled with horizontal 1m² frame),Sampling period 2,single.flower
25,5,2021,FR_V02,Vicia faba,56,Flowers per square meter (sampled with horizontal 1m² frame),Sampling period 2,single.flower
25,5,2021,FR_V02,Vicia faba,61,Flowers per square meter (sampled with horizontal 1m² frame),Sampling period 2,single.flower
22,7,2021,FR_V02,Erigeron annuus,2,Flowers per square meter (sampled with horizontal 1m² frame),Sampling period 3,capitulum
22,7,2021,FR_V02,Helianthus annuus,1,Flowers per square meter (sampled with horizontal 1m² frame),Sampling period 3,capitulum
22,7,2021,FR_V02,Lysimachia foemina,3,Flowers per square meter (sampled with horizontal 1m² frame),Sampling period 3,single.flower
22,7,2021,FR_V02,Medicago sativa,100-200,Flowers per square meter (sampled with horizontal 1m² frame),Sampling period 3,flower.head
22,7,2021,FR_V02,Medicago sativa,100-200,Flowers per square meter (sampled with horizontal 1m² frame),Sampling period 3,flower.head
22,7,2021,FR_V02,Medicago sativa,100-200,Flowers per square meter (sampled with horizontal 1m² frame),Sampling period 3,flower.head
22,7,2021,FR_V02,Medicago sativa,100-200,Flowers per square meter (sampled with horizontal 1m² frame),Sampling period 3,flower.head
22,7,2021,FR_V02,Medicago sativa,100-200,Flowers per square meter (sampled with horizontal 1m² frame),Sampling period 3,flower.head
22,7,2021,FR_V02,Medicago sativa,100-200,Flowers per square meter (sampled with horizontal 1m² frame),Sampling period 3,flower.head
22,7,2021,FR_V02,Medicago sativa,100-200,Flowers per square meter (sampled with horizontal 1m² frame),Sampling period 3,flower.head
22,7,2021,FR_V02,Medicago sativa,200-300,Flowers per square meter (sampled with horizontal 1m² frame),Sampling period 3,flower.head
22,7,2021,FR_V02,Medicago sativa,200-300,Flowers per square meter (sampled with horizontal 1m² frame),Sampling period 3,flower.head
22,7,2021,FR_V02,Medicago sativa,200-300,Flowers per square meter (sampled with horizontal 1m² frame),Sampling period 3,flower.head
22,7,2021,FR_V02,Myosotis arvensis,1,Flowers per square meter (sampled with horizontal 1m² frame),Sampling period 3,cyme
22,7,2021,FR_V02,Myosotis arvensis,7,Flowers per square meter (sampled with horizontal 1m² frame),Sampling period 3,cyme
