Day,Month,Year,Site_id,Plant_species,Flower_count,Units,Comment,country
23,4,2020,1,Helleborus viridis subsp. occidentalis,393,total number of flowers per species for the whole transect,,Spain
23,4,2020,1,Primula veris,8,total number of flowers per species for the whole transect,,Spain
23,4,2020,1,Taraxacum sp.,747,total number of flowers per species for the whole transect,,Spain
23,4,2020,1,Bellis perennis,2993,total number of flowers per species for the whole transect,,Spain
23,4,2020,1,Pinguicula grandiflora subsp. grandiflora,17,total number of flowers per species for the whole transect,,Spain
23,4,2020,1,Ranunculus sp.,13,total number of flowers per species for the whole transect,,Spain
23,4,2020,1,Hutchinsia alpina,85,total number of flowers per species for the whole transect,,Spain
23,4,2020,1,Viola sp. riviniana,296,total number of flowers per species for the whole transect,,Spain
23,4,2020,1,Scilla verna,15,total number of flowers per species for the whole transect,,Spain
23,4,2020,1,Veronica sp.,49,total number of flowers per species for the whole transect,,Spain
28,4,2020,5,Scilla verna,1496,total number of flowers per species for the whole transect,,Spain
28,4,2020,5,Pinguicula grandiflora subsp. grandiflora,2,total number of flowers per species for the whole transect,,Spain
28,4,2020,5,Pedicularis sylvatica subsp. sylvatica,169,total number of flowers per species for the whole transect,,Spain
28,4,2020,5,Polygala vulgaris,74,total number of flowers per species for the whole transect,,Spain
28,4,2020,5,Erytronium dens-canis,1,total number of flowers per species for the whole transect,,Spain
28,4,2020,5,Potentilla erecta,96,total number of flowers per species for the whole transect,,Spain
28,4,2020,5,Taraxacum sp.,3,total number of flowers per species for the whole transect,,Spain
28,4,2020,5,Bellis perennis,3,total number of flowers per species for the whole transect,,Spain
28,4,2020,5,Ranunculus sp.,2,total number of flowers per species for the whole transect,,Spain
28,4,2020,5,Vaccinium,28,total number of flowers per species for the whole transect,,Spain
29,4,2020,2,Taraxacum sp.,723,total number of flowers per species for the whole transect,,Spain
29,4,2020,2,Bellis perennis,3168,total number of flowers per species for the whole transect,,Spain
29,4,2020,2,Viola sp.,61,total number of flowers per species for the whole transect,,Spain
29,4,2020,2,Cardamine pratensis,1,total number of flowers per species for the whole transect,,Spain
29,4,2020,2,Polygala vulgaris,4,total number of flowers per species for the whole transect,,Spain
29,4,2020,2,Ranunculus sp.,1,total number of flowers per species for the whole transect,,Spain
29,4,2020,2,Veronica sp.,8,total number of flowers per species for the whole transect,,Spain
29,4,2020,2,Hepatica nobilis,4,total number of flowers per species for the whole transect,,Spain
29,4,2020,1,Ranunculus sp.,16,total number of flowers per species for the whole transect,,Spain
29,4,2020,1,Viola sp.,101,total number of flowers per species for the whole transect,,Spain
29,4,2020,1,Veronica persica,70,total number of flowers per species for the whole transect,,Spain
29,4,2020,1,Taraxacum sp.,833,total number of flowers per species for the whole transect,,Spain
29,4,2020,1,Pinguicula grandiflora subsp. grandiflora,22,total number of flowers per species for the whole transect,,Spain
29,4,2020,1,Bellis perennis,5459,total number of flowers per species for the whole transect,,Spain
29,4,2020,1,Scilla verna,66,total number of flowers per species for the whole transect,,Spain
29,4,2020,1,Helleborus viridis subsp. occidentalis,4,total number of flowers per species for the whole transect,,Spain
29,4,2020,1,Hutchinsia alpina,65,total number of flowers per species for the whole transect,,Spain
3,5,2020,3,Polygala vulgaris,208,total number of flowers per species for the whole transect,,Spain
3,5,2020,3,Ranunculus sp.,183,total number of flowers per species for the whole transect,,Spain
3,5,2020,3,Scilla verna,11,total number of flowers per species for the whole transect,,Spain
3,5,2020,3,Bellis perennis,643,total number of flowers per species for the whole transect,,Spain
3,5,2020,3,Potentilla erecta,86,total number of flowers per species for the whole transect,,Spain
3,5,2020,3,Potentilla montana,250,total number of flowers per species for the whole transect,,Spain
3,5,2020,3,Vicia pyrenaica,32,total number of flowers per species for the whole transect,,Spain
3,5,2020,3,Taraxacum sp.,7,total number of flowers per species for the whole transect,,Spain
3,5,2020,3,Viola sp.,5,total number of flowers per species for the whole transect,,Spain
3,5,2020,3,Lotus cornicularis,11,total number of flowers per species for the whole transect,,Spain
3,5,2020,3,Veronica sp.,2,total number of flowers per species for the whole transect,,Spain
3,5,2020,3,Pedicularis sylvatica subsp. sylvatica,41,total number of flowers per species for the whole transect,,Spain
4,5,2020,5,Scilla verna,1138,total number of flowers per species for the whole transect,,Spain
4,5,2020,5,Polygala vulgaris,201,total number of flowers per species for the whole transect,,Spain
4,5,2020,5,Taraxacum sp.,3,total number of flowers per species for the whole transect,,Spain
4,5,2020,5,Potentilla erecta,196,total number of flowers per species for the whole transect,,Spain
4,5,2020,5,Ranunculus sp.,5,total number of flowers per species for the whole transect,,Spain
4,5,2020,5,Pinguicula grandiflora subsp. grandiflora,4,total number of flowers per species for the whole transect,,Spain
4,5,2020,5,Pedicularis sylvatica subsp. sylvatica,153,total number of flowers per species for the whole transect,,Spain
4,5,2020,5,Bellis perennis,6,total number of flowers per species for the whole transect,,Spain
4,5,2020,5,Vicia pyrenaica,1,total number of flowers per species for the whole transect,,Spain
4,5,2020,5,Vaccinium,5,total number of flowers per species for the whole transect,,Spain
5,5,2020,4,Potentilla erecta,402,total number of flowers per species for the whole transect,,Spain
5,5,2020,4,Polygala vulgaris,4128,total number of flowers per species for the whole transect,,Spain
5,5,2020,4,Pinguicula grandiflora subsp. grandiflora,4,total number of flowers per species for the whole transect,,Spain
5,5,2020,4,Lathyrus linifolius,6,total number of flowers per species for the whole transect,,Spain
5,5,2020,4,Viola sp.,9,total number of flowers per species for the whole transect,,Spain
5,5,2020,4,Taraxacum sp.,38,total number of flowers per species for the whole transect,,Spain
5,5,2020,4,Ranunculus sp.,36,total number of flowers per species for the whole transect,,Spain
5,5,2020,4,Scilla verna,79,total number of flowers per species for the whole transect,,Spain
5,5,2020,4,Bellis perennis,141,total number of flowers per species for the whole transect,,Spain
5,5,2020,4,Vaccinium,4,total number of flowers per species for the whole transect,,Spain
