Plant_species,Pollinator_species,Interaction,Sampling_method,Sampling_effort_minutes,Sampling_area_square_meters,Site_id,Habitat,Country,Locality,Latitude,Longitude,Coordinate_precision,Elevation,Day,Month,Year,Comments,Temperature,Humidity
Ranunculus sp.,Cheilosia nigripes,1,Transect,180,200,1,Grassland,Spain,Orozko,43.0812211,-2.8192852,,,3,5,2020,,,
Bellis perennis,Eupeodes corollae,1,Transect,180,200,1,Grassland,Spain,Orozko,43.0812211,-2.8192852,,,3,5,2020,,,
Potentilla montana,Lasioglossum sp,1,Transect,180,200,1,Grassland,Spain,Orozko,43.0812211,-2.8192852,,,3,5,2020,,,
Potentilla erecta,Andrena minutuloides,1,Transect,180,200,1,Grassland,Spain,Orozko,43.0812211,-2.8192852,,,3,5,2020,,,
Bellis perennis,Eupeodes corollae,1,Transect,180,200,1,Grassland,Spain,Orozko,43.0812211,-2.8192852,,,3,5,2020,,,
Vicia pyrenaica,Bombus pascuorum,1,Transect,180,200,1,Grassland,Spain,Orozko,43.0812211,-2.8192852,,,3,5,2020,,,
Potentilla erecta,Syrphidae NA,1,Transect,180,200,1,Grassland,Spain,Orozko,43.0812211,-2.8192852,,,3,5,2020,,,
Potentilla erecta,Syrphidae NA,1,Transect,180,200,1,Grassland,Spain,Orozko,43.0812211,-2.8192852,,,3,5,2020,,,
Bellis perennis,Syrphidae NA,1,Transect,180,200,1,Grassland,Spain,Orozko,43.0812211,-2.8192852,,,3,5,2020,,,
Bellis perennis,Eupeodes corollae,1,Transect,180,200,1,Grassland,Spain,Orozko,43.0812211,-2.8192852,,,3,5,2020,,,
Potentilla erecta,Sphaerophoria scripta,1,Transect,180,200,1,Grassland,Spain,Orozko,43.0812211,-2.8192852,,,3,5,2020,,,
Bellis perennis,Eupeodes corollae,1,Transect,180,200,1,Grassland,Spain,Orozko,43.0812211,-2.8192852,,,3,5,2020,,,
Lotus corniculatus,Apis mellifera,1,Transect,180,200,1,Grassland,Spain,Orozko,43.0812211,-2.8192852,,,3,5,2020,,,
Vicia pyrenaica,Bombus pascuorum,1,Transect,180,200,1,Grassland,Spain,Orozko,43.0812211,-2.8192852,,,3,5,2020,,,
Taraxacum sp.,Andrena rhyssonota,1,Transect,180,200,5,Grassland,Spain,Orozko,43.0559689,-2.8581236,,,4,5,2020,,,
Potentilla erecta,Sphaerophoria scripta,1,Transect,180,200,5,Grassland,Spain,Orozko,43.0559689,-2.8581236,,,4,5,2020,,,
Scilla verna,Lasioglossum punctatissimum,1,Transect,180,200,5,Grassland,Spain,Orozko,43.0559689,-2.8581236,,,4,5,2020,,,
Scilla verna,Cerambycidae,1,Transect,180,200,5,Grassland,Spain,Orozko,43.0559689,-2.8581236,,,4,5,2020,,,
Scilla verna,Cerambycidae,1,Transect,180,200,5,Grassland,Spain,Orozko,43.0559689,-2.8581236,,,4,5,2020,,,
Scilla verna,Cerambycidae,1,Transect,180,200,5,Grassland,Spain,Orozko,43.0559689,-2.8581236,,,4,5,2020,,,
Scilla verna,Cerambycidae,1,Transect,180,200,5,Grassland,Spain,Orozko,43.0559689,-2.8581236,,,4,5,2020,,,
Scilla verna,Cerambycidae,1,Transect,180,200,5,Grassland,Spain,Orozko,43.0559689,-2.8581236,,,4,5,2020,,,
Scilla verna,Cerambycidae,1,Transect,180,200,5,Grassland,Spain,Orozko,43.0559689,-2.8581236,,,4,5,2020,,,
Scilla verna,Cerambycidae,1,Transect,180,200,5,Grassland,Spain,Orozko,43.0559689,-2.8581236,,,4,5,2020,,,
Scilla verna,Cerambycidae,1,Transect,180,200,5,Grassland,Spain,Orozko,43.0559689,-2.8581236,,,4,5,2020,,,
Scilla verna,Cerambycidae,1,Transect,180,200,5,Grassland,Spain,Orozko,43.0559689,-2.8581236,,,4,5,2020,,,
Scilla verna,Cerambycidae,1,Transect,180,200,5,Grassland,Spain,Orozko,43.0559689,-2.8581236,,,4,5,2020,,,
Scilla verna,Cerambycidae,1,Transect,180,200,5,Grassland,Spain,Orozko,43.0559689,-2.8581236,,,4,5,2020,,,
Scilla verna,Cerambycidae,1,Transect,180,200,5,Grassland,Spain,Orozko,43.0559689,-2.8581236,,,4,5,2020,,,
Scilla verna,Cerambycidae,1,Transect,180,200,5,Grassland,Spain,Orozko,43.0559689,-2.8581236,,,4,5,2020,,,
Scilla verna,Cerambycidae,1,Transect,180,200,5,Grassland,Spain,Orozko,43.0559689,-2.8581236,,,4,5,2020,,,
Scilla verna,Cerambycidae,1,Transect,180,200,5,Grassland,Spain,Orozko,43.0559689,-2.8581236,,,4,5,2020,,,
Scilla verna,Cerambycidae,1,Transect,180,200,5,Grassland,Spain,Orozko,43.0559689,-2.8581236,,,4,5,2020,,,
Scilla verna,Cerambycidae,1,Transect,180,200,5,Grassland,Spain,Orozko,43.0559689,-2.8581236,,,4,5,2020,,,
Scilla verna,Cerambycidae,1,Transect,180,200,5,Grassland,Spain,Orozko,43.0559689,-2.8581236,,,4,5,2020,,,
Scilla verna,Cerambycidae,1,Transect,180,200,5,Grassland,Spain,Orozko,43.0559689,-2.8581236,,,4,5,2020,,,
Scilla verna,Cerambycidae,1,Transect,180,200,5,Grassland,Spain,Orozko,43.0559689,-2.8581236,,,4,5,2020,,,
Scilla verna,Cerambycidae,1,Transect,180,200,5,Grassland,Spain,Orozko,43.0559689,-2.8581236,,,4,5,2020,,,
Scilla verna,Cerambycidae,1,Transect,180,200,5,Grassland,Spain,Orozko,43.0559689,-2.8581236,,,4,5,2020,,,
Scilla verna,Cerambycidae,1,Transect,180,200,5,Grassland,Spain,Orozko,43.0559689,-2.8581236,,,4,5,2020,,,
Scilla verna,Cerambycidae,1,Transect,180,200,5,Grassland,Spain,Orozko,43.0559689,-2.8581236,,,4,5,2020,,,
Scilla verna,Cerambycidae,1,Transect,180,200,5,Grassland,Spain,Orozko,43.0559689,-2.8581236,,,4,5,2020,,,
Scilla verna,Cerambycidae,1,Transect,180,200,5,Grassland,Spain,Orozko,43.0559689,-2.8581236,,,4,5,2020,,,
Scilla verna,Cerambycidae,1,Transect,180,200,5,Grassland,Spain,Orozko,43.0559689,-2.8581236,,,4,5,2020,,,
Scilla verna,Cerambycidae,1,Transect,180,200,5,Grassland,Spain,Orozko,43.0559689,-2.8581236,,,4,5,2020,,,
Scilla verna,Cerambycidae,1,Transect,180,200,5,Grassland,Spain,Orozko,43.0559689,-2.8581236,,,4,5,2020,,,
Scilla verna,Cerambycidae,1,Transect,180,200,5,Grassland,Spain,Orozko,43.0559689,-2.8581236,,,4,5,2020,,,
Scilla verna,Cerambycidae,1,Transect,180,200,5,Grassland,Spain,Orozko,43.0559689,-2.8581236,,,4,5,2020,,,
Scilla verna,Cerambycidae,1,Transect,180,200,5,Grassland,Spain,Orozko,43.0559689,-2.8581236,,,4,5,2020,,,
Scilla verna,Cerambycidae,1,Transect,180,200,5,Grassland,Spain,Orozko,43.0559689,-2.8581236,,,4,5,2020,,,
Scilla verna,Cerambycidae,1,Transect,180,200,5,Grassland,Spain,Orozko,43.0559689,-2.8581236,,,4,5,2020,,,
Scilla verna,Cerambycidae,1,Transect,180,200,5,Grassland,Spain,Orozko,43.0559689,-2.8581236,,,4,5,2020,,,
Scilla verna,Cerambycidae,1,Transect,180,200,5,Grassland,Spain,Orozko,43.0559689,-2.8581236,,,4,5,2020,,,
Scilla verna,Cerambycidae,1,Transect,180,200,5,Grassland,Spain,Orozko,43.0559689,-2.8581236,,,4,5,2020,,,
Scilla verna,Cerambycidae,1,Transect,180,200,5,Grassland,Spain,Orozko,43.0559689,-2.8581236,,,4,5,2020,,,
Scilla verna,Cerambycidae,1,Transect,180,200,5,Grassland,Spain,Orozko,43.0559689,-2.8581236,,,4,5,2020,,,
Scilla verna,Cerambycidae,1,Transect,180,200,5,Grassland,Spain,Orozko,43.0559689,-2.8581236,,,4,5,2020,,,
Scilla verna,Cerambycidae,1,Transect,180,200,5,Grassland,Spain,Orozko,43.0559689,-2.8581236,,,4,5,2020,,,
Scilla verna,Cerambycidae,1,Transect,180,200,5,Grassland,Spain,Orozko,43.0559689,-2.8581236,,,4,5,2020,,,
Scilla verna,Cerambycidae,1,Transect,180,200,5,Grassland,Spain,Orozko,43.0559689,-2.8581236,,,4,5,2020,,,
Scilla verna,Cerambycidae,1,Transect,180,200,5,Grassland,Spain,Orozko,43.0559689,-2.8581236,,,4,5,2020,,,
Scilla verna,Cerambycidae,1,Transect,180,200,5,Grassland,Spain,Orozko,43.0559689,-2.8581236,,,4,5,2020,,,
Scilla verna,Cerambycidae,1,Transect,180,200,5,Grassland,Spain,Orozko,43.0559689,-2.8581236,,,4,5,2020,,,
