"Plant_gen_sp","Site_ID","Name","Day","Month","Year","Round","Notes","Plot","Plant_genus","Plant_species","Flower_abundance"
"Lysimachia arvensis","Villamanrique_este","Curro",28,4,2016,7,NA,8,"Lysimachia","arvensis",4
"Lysimachia arvensis","Convento_de_la_luz","Curro",26,4,2016,7,NA,1,"Lysimachia","arvensis",3
"Lysimachia arvensis","Bonares","Curro",21,4,2016,6,NA,5,"Lysimachia","arvensis",6
"Lysimachia arvensis","Bonares","Curro",26,4,2016,7,NA,7,"Lysimachia","arvensis",3
"Lysimachia arvensis","El_hongo","Pablo",3,5,2017,6,NA,6,"Lysimachia","arvensis",2
"Lysimachia arvensis","Villamanrique_este","Curro",28,4,2016,7,NA,7,"Lysimachia","arvensis",42
"Lysimachia arvensis","Villamanrique_este","Curro",28,4,2016,7,NA,6,"Lysimachia","arvensis",34
"Lysimachia arvensis","Villamanrique_este","Curro",28,4,2016,7,NA,5,"Lysimachia","arvensis",20
"Lysimachia arvensis","Aznalcazar","Curro",14,4,2016,6,NA,8,"Lysimachia","arvensis",3
"Lysimachia arvensis","Cotito_de_santa_teresa","Curro",11,5,2018,5,NA,4,"Lysimachia","arvensis",3
"Lysimachia arvensis","Urbanizaciones","Curro",15,5,2018,6,NA,2,"Lysimachia","arvensis",5
"Lysimachia arvensis","Aznalcazar","Pablo",3,4,2017,4,NA,5,"Lysimachia","arvensis",1
"Lysimachia arvensis","Bonares","Curro",19,5,2016,8,NA,6,"Lysimachia","arvensis",3
"Lysimachia arvensis","El_hongo","Pablo",4,4,2017,4,NA,10,"Lysimachia","arvensis",1
"Lysimachia arvensis","El_pozo","Curro",15,5,2018,6,NA,1,"Lysimachia","arvensis",5
"Lysimachia arvensis","Niebla","Curro",21,4,2016,6,NA,3,"Lysimachia","arvensis",3
"Lysimachia arvensis","El_pozo","Curro",7,6,2018,8,NA,2,"Lysimachia","arvensis",6
"Lysimachia arvensis","El_hongo","Curro",16,5,2016,8,NA,4,"Lysimachia","arvensis",11
"Lysimachia arvensis","Villamanrique_este","Pablo",16,5,2017,7,NA,7,"Lysimachia","arvensis",3
"Lysimachia arvensis","Niebla","Pablo",6,4,2017,4,NA,3,"Lysimachia","arvensis",2
"Lysimachia arvensis","Villamanrique_este","Curro",7,4,2020,6,NA,2,"Lysimachia","arvensis",7
"Lysimachia arvensis","Urbanizaciones","Curro",26,4,2018,4,NA,3,"Lysimachia","arvensis",7
"Lysimachia arvensis","Niebla","Curro",17,3,2016,4,NA,4,"Lysimachia","arvensis",7
"Lysimachia arvensis","Bonares","Curro",26,4,2016,7,NA,6,"Lysimachia","arvensis",3
"Lysimachia arvensis","El_hongo","Pablo",17,4,2017,5,NA,7,"Lysimachia","arvensis",1
"Lysimachia arvensis","Villamanrique_este","Curro",21,4,2020,7,NA,9,"Lysimachia","arvensis",13
"Lysimachia arvensis","Niebla","Curro",21,4,2016,6,NA,5,"Lysimachia","arvensis",9
"Lysimachia arvensis","Esparragal","Curro",29,5,2018,7,NA,1,"Lysimachia","arvensis",1
"Lysimachia arvensis","El_pozo","Curro",7,6,2018,8,NA,3,"Lysimachia","arvensis",3
"Lysimachia arvensis","Villamanrique_este","Curro",11,4,2019,5,NA,7,"Lysimachia","arvensis",25
"Lysimachia arvensis","Niebla","Curro",17,3,2016,4,NA,3,"Lysimachia","arvensis",11
"Lysimachia arvensis","La_cunya","Curro",14,5,2018,6,NA,3,"Lysimachia","arvensis",5
"Lysimachia arvensis","Urbanizaciones","Curro",22,5,2018,7,NA,3,"Lysimachia","arvensis",26
"Lysimachia arvensis","Niebla","Pablo",6,4,2017,4,NA,9,"Lysimachia","arvensis",1
"Lysimachia arvensis","Urbanizaciones","Curro",26,4,2018,4,NA,2,"Lysimachia","arvensis",2
"Lysimachia arvensis","El_pozo","Curro",30,5,2018,7,NA,1,"Lysimachia","arvensis",10
"Lysimachia arvensis","La_rocina","Curro",23,5,2016,8,NA,3,"Lysimachia","arvensis",50
"Lysimachia arvensis","Niebla","Pablo",6,4,2017,4,NA,2,"Lysimachia","arvensis",2
"Lysimachia arvensis","El_hongo","Curro",25,4,2016,7,NA,10,"Lysimachia","arvensis",32
"Lysimachia arvensis","Pino_del_cuervo","Curro",30,5,2018,7,NA,8,"Lysimachia","arvensis",6
"Lysimachia arvensis","Urbanizaciones","Curro",15,5,2018,6,NA,3,"Lysimachia","arvensis",18
"Lysimachia arvensis","Urbanizaciones","Curro",11,6,2018,8,NA,3,"Lysimachia","arvensis",9
"Lysimachia arvensis","Pino_del_cuervo","Curro",23,5,2016,8,NA,5,"Lysimachia","arvensis",5
"Lysimachia arvensis","El_pozo","Curro",30,5,2018,7,NA,6,"Lysimachia","arvensis",7
"Lysimachia arvensis","Niebla","Curro",17,3,2016,4,NA,2,"Lysimachia","arvensis",22
"Lysimachia arvensis","Convento_de_la_luz","Curro",22,4,2020,7,NA,8,"Lysimachia","arvensis",17
"Lysimachia arvensis","Villamanrique_este","Curro",7,4,2020,6,NA,5,"Lysimachia","arvensis",15
"Lysimachia arvensis","Urbanizaciones","Curro",26,4,2016,7,NA,4,"Lysimachia","arvensis",12
"Lysimachia arvensis","Niebla","Curro",5,3,2016,3,NA,2,"Lysimachia","arvensis",15
"Lysimachia arvensis","Urbanizaciones","Curro",26,4,2016,7,NA,5,"Lysimachia","arvensis",11
"Lysimachia arvensis","Convento_de_la_luz","Curro",21,4,2016,6,NA,6,"Lysimachia","arvensis",3
"Lysimachia arvensis","El_hongo","Curro",25,4,2016,7,NA,9,"Lysimachia","arvensis",42
"Lysimachia arvensis","Convento_de_la_luz","Curro",21,4,2016,6,NA,8,"Lysimachia","arvensis",9
"Lysimachia arvensis","Convento_de_la_luz","Curro",19,5,2016,8,NA,6,"Lysimachia","arvensis",3
"Lysimachia arvensis","El_hongo","Curro",16,5,2018,6,NA,9,"Lysimachia","arvensis",9
"Lysimachia arvensis","Villamanrique_este","Curro",21,4,2020,7,NA,10,"Lysimachia","arvensis",3
"Lysimachia arvensis","Convento_de_la_luz","Curro",19,5,2016,8,NA,1,"Lysimachia","arvensis",6
"Lysimachia arvensis","Pino_del_cuervo","Curro",30,5,2018,7,NA,9,"Lysimachia","arvensis",2
"Lysimachia arvensis","Villamanrique_este","Curro",31,5,2016,9,NA,7,"Lysimachia","arvensis",45
"Lysimachia arvensis","Convento_de_la_luz","Pablo",8,5,2017,6,NA,9,"Lysimachia","arvensis",1
"Lysimachia arvensis","Villamanrique_este","Curro",29,3,2016,5,NA,3,"Lysimachia","arvensis",6
"Lysimachia arvensis","El_hongo","Curro",27,4,2019,6,NA,10,"Lysimachia","arvensis",4
"Lysimachia arvensis","Niebla","Curro",1,4,2016,5,NA,6,"Lysimachia","arvensis",39
"Lysimachia arvensis","La_rocina","Curro",23,5,2016,8,NA,6,"Lysimachia","arvensis",10
"Lysimachia arvensis","Aznalcazar","Pablo",17,4,2017,5,NA,8,"Lysimachia","arvensis",3
"Lysimachia arvensis","Villamanrique_este","Curro",14,4,2016,6,NA,7,"Lysimachia","arvensis",2
"Lysimachia arvensis","Villamanrique_este","Curro",28,4,2016,7,NA,3,"Lysimachia","arvensis",11
"Lysimachia arvensis","Niebla","Pablo",6,4,2017,4,NA,6,"Lysimachia","arvensis",1
"Lysimachia arvensis","El_hongo","Curro",22,4,2016,6,NA,9,"Lysimachia","arvensis",31
"Lysimachia arvensis","Urbanizaciones","Pablo",17,5,2017,7,NA,2,"Lysimachia","arvensis",2
"Lysimachia arvensis","Niebla","Curro",17,3,2016,4,NA,6,"Lysimachia","arvensis",14
"Lysimachia arvensis","Villamanrique_este","Curro",2,5,2019,7,NA,7,"Lysimachia","arvensis",2
"Lysimachia arvensis","Pinares_de_hinojos","Curro",18,4,2016,6,NA,3,"Lysimachia","arvensis",8
"Lysimachia arvensis","Niebla","Curro",17,3,2016,4,NA,8,"Lysimachia","arvensis",9
"Lysimachia arvensis","Convento_de_la_luz","Curro",22,4,2020,7,NA,1,"Lysimachia","arvensis",12
"Lysimachia arvensis","Villamanrique_este","Curro",28,4,2016,7,NA,1,"Lysimachia","arvensis",9
"Lysimachia arvensis","Pino_del_cuervo","Curro",5,6,2018,8,NA,10,"Lysimachia","arvensis",3
"Lysimachia arvensis","Pino_del_cuervo","Curro",5,6,2018,8,NA,8,"Lysimachia","arvensis",12
"Lysimachia arvensis","Convento_de_la_luz","Curro",26,4,2016,7,NA,8,"Lysimachia","arvensis",9
"Lysimachia arvensis","El_pozo","Curro",10,5,2018,5,NA,7,"Lysimachia","arvensis",5
"Lysimachia arvensis","Aznalcazar","Curro",1,6,2016,9,NA,2,"Lysimachia","arvensis",50
"Lysimachia arvensis","Convento_de_la_luz","Curro",8,4,2020,6,NA,8,"Lysimachia","arvensis",20
"Lysimachia arvensis","Convento_de_la_luz","Curro",26,4,2016,7,NA,6,"Lysimachia","arvensis",3
"Lysimachia arvensis","Urbanizaciones","Curro",19,5,2016,8,NA,4,"Lysimachia","arvensis",9
"Lysimachia arvensis","Villamanrique_sur","Curro",31,5,2016,9,NA,8,"Lysimachia","arvensis",2
"Lysimachia arvensis","Convento_de_la_luz","Curro",21,4,2016,6,NA,1,"Lysimachia","arvensis",3
"Lysimachia arvensis","Villamanrique_este","Curro",14,4,2016,6,NA,2,"Lysimachia","arvensis",2
"Anarrhinum bellidifolium","Las_mulas","Curro",20,5,2016,8,NA,5,"Anarrhinum","bellidifolium",100
"Anarrhinum bellidifolium","Pino_del_cuervo","Curro",29,4,2016,7,NA,5,"Anarrhinum","bellidifolium",100
"Anarrhinum bellidifolium","Las_mulas","Curro",28,4,2016,7,NA,5,"Anarrhinum","bellidifolium",1000
"Anarrhinum bellidifolium","Las_mulas","Curro",28,4,2016,7,NA,4,"Anarrhinum","bellidifolium",100
"Anarrhinum sp","Las_mulas","Curro",31,5,2016,9,NA,5,"Anarrhinum","sp",300
"Anarrhinum sp","Las_mulas","Curro",13,5,2015,7,NA,4,"Anarrhinum","sp",600
"Anarrhinum sp","Las_mulas","Curro",28,4,2015,6,NA,3,"Anarrhinum","sp",20
