"Site_ID","Collector","Day","Month","Year","Time","Round","Weather","Temperature","Humidity","Wind","Notes","Transect_number","Plant_genus","Plant_species","Type","Out","Notes_pollinators","Pollinator_id","Specimen_number","Pollinator_genus","Pollinator_species","Pollinator_gen_sp","Subespecies","Pollinator_sex","Morphoespecie","Det","Frequency","Plant_gen_sp","Guild","Family","Order"
"La_rocina","CurroMolina",18,4,2016,"15:30:00",6,"sol",22,NA,"moderado",NA,NA,"Lavandula","pedunculata","species","transect",NA,"BF977",1,"Amegilla","albigena","Amegilla albigena",NA,"female",NA,"CurroMolina",3,"Lavandula pedunculata","bee","Apidae","Hymenoptera"
"Convento_de_la_luz","CurroMolina",11,6,2018,"11:00:00",8,"sol",25,40,"moderado",NA,NA,"Cistus","crispus","species","transect",NA,"BF1163",2,"Amegilla","quadrifasciata","Amegilla quadrifasciata",NA,"female",NA,"CurroMolina",5,"Cistus crispus","bee","Apidae","Hymenoptera"
"Aznalcazar","CurroMolina",1,6,2016,"15:30:00",9,"sol",32,NA,"moderado",NA,NA,"Cistus","crispus","species","transect",NA,"BF719",3,"Amegilla","quadrifasciata","Amegilla quadrifasciata",NA,"female",NA,"CurroMolina",6,"Cistus crispus","bee","Apidae","Hymenoptera"
"La_rocina","CurroMolina",18,4,2016,"15:30:00",6,"sol",22,NA,"moderado",NA,NA,"Lavandula","pedunculata","species","transect",NA,"no_captured",4,"Amegilla","quadrifasciata","Amegilla quadrifasciata",NA,"male",NA,"CurroMolina",3,"Lavandula pedunculata","bee","Apidae","Hymenoptera"
"Bonares","CurroMolina",21,4,2016,"13:15:00",6,"sol_y_nubes",18,NA,"suave",NA,NA,"Cistus","crispus","generic","out",NA,"no_captured",5,"Ammobates","sp","Ammobates sp",NA,"unknown","culo rojo","CurroMolina",2,"Cistus crispus","bee","Apidae","Hymenoptera"
"Convento_de_la_luz","CurroMolina",29,4,2015,"15:00:00",6,"sol",26,30,"sin_viento",NA,NA,"Halimium","halimifolium","species","transect",NA,"BF679",6,"Ammophila","heydeni","Ammophila heydeni",NA,"male",NA,"CurroMolina",3,"Halimium halimifolium","wasp","Sphecidae","Hymenoptera"
"Bonares","CurroMolina",12,5,2015,"11:30:00",7,"sol",27,35,"sin_viento",NA,NA,"Thymus","mastichina","species","transect",NA,"BF675",7,"Ammophila","heydeni","Ammophila heydeni",NA,"female",NA,"CurroMolina",6,"Thymus mastichina","wasp","Sphecidae","Hymenoptera"
"Bonares","CurroMolina",29,4,2015,"13:00:00",6,"sol",23,28,"suave",NA,NA,"Thapsia","villosa","species","transect",NA,"BF693",8,"Ancistrocerus","biphaleratus","Ancistrocerus biphaleratus",NA,"female",NA,"OscarAguado_LeopoldoCastro_CurroMolina",1,"Thapsia villosa","wasp","Vespidae","Hymenoptera"
"Pino_del_cuervo","CurroMolina",30,4,2015,"17:30:00",6,"sol",28,39,"moderado",NA,NA,"Cistus","crispus","species","transect",NA,"BF669",9,"Ancistrocerus","gazella","Ancistrocerus gazella",NA,"unknown",NA,"OscarAguado_LeopoldoCastro_CurroMolina",1,"Cistus crispus","wasp","Vespidae","Hymenoptera"
"Urbanizaciones","CurroMolina",22,5,2018,"12:00:00",7,"sol_y_nubes",25,45,"sin_viento",NA,NA,"Cistus","crispus","species","transect",NA,NA,10,"Andrena","agilissima","Andrena agilissima",NA,"female",NA,"CurroMolina",2,"Cistus crispus","bee","Andrenidae","Hymenoptera"
"Aznalcazar","CurroMolina",28,5,2018,"11:00:00",7,"nubes",24,41,"suave",NA,NA,"Cistus","crispus","species","transect",NA,NA,11,"Andrena","agilissima","Andrena agilissima",NA,"female",NA,"CurroMolina",2,"Cistus crispus","bee","Andrenidae","Hymenoptera"
