Plant_species,Pollinator_species,Interaction,Sampling_method,Sampling_effort_minutes,Sampling_area_square_meters,Site_id,Habitat,Country,Locality,Latitude,Longitude,Coordinate_precision,Elevation,Day,Month,Year,Comments,Temperature,Humidity
Anthericum liliago,Lasioglossum interruptum,1,Transect,30,300,1,Grassland,Germany,,50.1478954,10.0688301,,,16,7,2011,,,
Bupleurum falcatum,Halictus simplex,1,Transect,30,300,1,Grassland,Germany,,50.1478954,10.0688301,,,16,7,2011,,,
Centaurea scabiosa,Halictus simplex,1,Transect,30,300,1,Grassland,Germany,,50.1478954,10.0688301,,,16,7,2011,,,
Centaurea scabiosa,Bombus pratorum,1,Transect,30,300,1,Grassland,Germany,,50.1478954,10.0688301,,,16,7,2011,,,
Centaurea scabiosa,Bombus lapidarius,1,Transect,30,300,1,Grassland,Germany,,50.1478954,10.0688301,,,16,7,2011,,,
Centaurea scabiosa,Bombus lapidarius,1,Transect,30,300,1,Grassland,Germany,,50.1478954,10.0688301,,,16,7,2011,,,
Centaurea scabiosa,Bombus terrestris,1,Transect,30,300,1,Grassland,Germany,,50.1478954,10.0688301,,,16,7,2011,,,
Centaurea scabiosa,Bombus lapidarius,1,Transect,30,300,1,Grassland,Germany,,50.1478954,10.0688301,,,16,7,2011,,,
Geranium sanguineum,Bombus lapidarius,1,Transect,30,300,1,Grassland,Germany,,50.1478954,10.0688301,,,9,6,2011,,,
Helianthemum nummularium,Apis mellifera,1,Transect,30,300,1,Grassland,Germany,,50.1478954,10.0688301,,,9,6,2011,,,
Helianthemum nummularium,Apis mellifera,1,Transect,30,300,1,Grassland,Germany,,50.1478954,10.0688301,,,9,6,2011,,,
Helianthemum nummularium,Merodon spec,1,Transect,30,300,1,Grassland,Germany,,50.1478954,10.0688301,,,9,6,2011,,,
Hippocrepis comosa,Bombus lapidarius,1,Transect,30,300,1,Grassland,Germany,,50.1478954,10.0688301,,,9,6,2011,,,
Hippocrepis comosa,Bombus lapidarius,1,Transect,30,300,1,Grassland,Germany,,50.1478954,10.0688301,,,9,6,2011,,,
Hippocrepis comosa,Trachusa byssinum,1,Transect,30,300,1,Grassland,Germany,,50.1478954,10.0688301,,,9,6,2011,,,
Lamiaceae sp.,Bombus pratorum,1,Transect,30,300,1,Grassland,Germany,,50.1478954,10.0688301,,,16,7,2011,,,
