Plant_species,Pollinator_species,Interaction,Sampling_method,Sampling_effort_minutes,Sampling_area_square_meters,Site_id,Focal_habitat,Country,Day,Month,Year,Temperature,Landscape_type,Transect_part_id,Transect_part_length_m,Longitude,Latitude,Locality
NA,Lasioglossum.malachurum,0,transect,6,100,A1,hedge,CH,7,5,2020,21,Intensive.agriculture,1,50,7.942262098,47.51434879,Schupfart
Knautia.arvensis,Lasioglossum.leucozonium,1,transect,18,300,A1,perm.mead,CH,7,5,2020,18,Intensive.agriculture,2,150,7.942262098,47.51434879,Schupfart
Trifolium.pratense,Bombus.sylvarum,1,transect,18,300,A1,perm.mead,CH,7,5,2020,18,Intensive.agriculture,2,150,7.942262098,47.51434879,Schupfart
Trifolium.pratense,Bombus.hortorum,1,transect,18,300,A1,perm.mead,CH,7,5,2020,18,Intensive.agriculture,2,150,7.942262098,47.51434879,Schupfart
Knautia.arvensis,Apis.mellifera,1,transect,18,300,A1,perm.mead,CH,7,5,2020,18,Intensive.agriculture,2,150,7.942262098,47.51434879,Schupfart
Knautia.arvensis,Apis.mellifera,1,transect,18,300,A1,perm.mead,CH,7,5,2020,18,Intensive.agriculture,2,150,7.942262098,47.51434879,Schupfart
Knautia.arvensis,Apis.mellifera,1,transect,18,300,A1,perm.mead,CH,7,5,2020,18,Intensive.agriculture,2,150,7.942262098,47.51434879,Schupfart
Trifolium.pratense,Apis.mellifera,1,transect,18,300,A1,perm.mead,CH,7,5,2020,18,Intensive.agriculture,2,150,7.942262098,47.51434879,Schupfart
Lotus.corniculatus,Apis.mellifera,1,transect,18,300,A1,perm.mead,CH,7,5,2020,18,Intensive.agriculture,2,150,7.942262098,47.51434879,Schupfart
Knautia.arvensis,Apis.mellifera,1,transect,18,300,A1,perm.mead,CH,7,5,2020,18,Intensive.agriculture,2,150,7.942262098,47.51434879,Schupfart
Knautia.arvensis,Apis.mellifera,1,transect,18,300,A1,perm.mead,CH,7,5,2020,18,Intensive.agriculture,2,150,7.942262098,47.51434879,Schupfart
Knautia.arvensis,Apis.mellifera,1,transect,18,300,A1,perm.mead,CH,7,5,2020,18,Intensive.agriculture,2,150,7.942262098,47.51434879,Schupfart
Trifolium.pratense,Apis.mellifera,1,transect,18,300,A1,perm.mead,CH,7,5,2020,18,Intensive.agriculture,2,150,7.942262098,47.51434879,Schupfart
Trifolium.pratense,Apis.mellifera,1,transect,18,300,A1,perm.mead,CH,7,5,2020,18,Intensive.agriculture,2,150,7.942262098,47.51434879,Schupfart
Trifolium.pratense,Apis.mellifera,1,transect,18,300,A1,perm.mead,CH,7,5,2020,18,Intensive.agriculture,2,150,7.942262098,47.51434879,Schupfart
Trifolium.pratense,Apis.mellifera,1,transect,18,300,A1,perm.mead,CH,7,5,2020,18,Intensive.agriculture,2,150,7.942262098,47.51434879,Schupfart
Knautia.arvensis,Apis.mellifera,1,transect,18,300,A1,perm.mead,CH,7,5,2020,18,Intensive.agriculture,2,150,7.942262098,47.51434879,Schupfart
Tragopogon.pratensis,Apis.mellifera,1,transect,18,300,A1,perm.mead,CH,7,5,2020,18,Intensive.agriculture,2,150,7.942262098,47.51434879,Schupfart
Trifolium.pratense,Apis.mellifera,1,transect,18,300,A1,perm.mead,CH,7,5,2020,18,Intensive.agriculture,2,150,7.942262098,47.51434879,Schupfart
Trifolium.pratense,Apis.mellifera,1,transect,18,300,A1,perm.mead,CH,7,5,2020,18,Intensive.agriculture,2,150,7.942262098,47.51434879,Schupfart
NA,Lasioglossum.malachurum,0,transect,6,100,A1,art.grass,CH,7,5,2020,18,Intensive.agriculture,3,50,7.942262098,47.51434879,Schupfart
Brassica.napus,Lasioglossum.laticeps,1,transect,42,700,A1,OSR,CH,7,5,2020,22,Intensive.agriculture,4,350,7.942262098,47.51434879,Schupfart
Brassica.napus,Apis.mellifera,1,transect,42,700,A1,OSR,CH,7,5,2020,22,Intensive.agriculture,4,350,7.942262098,47.51434879,Schupfart
Brassica.napus,Apis.mellifera,1,transect,42,700,A1,OSR,CH,7,5,2020,22,Intensive.agriculture,4,350,7.942262098,47.51434879,Schupfart
Brassica.napus,Apis.mellifera,1,transect,42,700,A1,OSR,CH,7,5,2020,22,Intensive.agriculture,4,350,7.942262098,47.51434879,Schupfart
Brassica.napus,Bombus.sp,1,transect,42,700,A1,OSR,CH,7,5,2020,22,Intensive.agriculture,4,350,7.942262098,47.51434879,Schupfart
Brassica.napus,Apis.mellifera,1,transect,42,700,A1,OSR,CH,7,5,2020,22,Intensive.agriculture,4,350,7.942262098,47.51434879,Schupfart
Brassica.napus,Apis.mellifera,1,transect,42,700,A1,OSR,CH,7,5,2020,22,Intensive.agriculture,4,350,7.942262098,47.51434879,Schupfart
Brassica.napus,Apis.mellifera,1,transect,42,700,A1,OSR,CH,7,5,2020,22,Intensive.agriculture,4,350,7.942262098,47.51434879,Schupfart
Brassica.napus,Apis.mellifera,1,transect,42,700,A1,OSR,CH,7,5,2020,22,Intensive.agriculture,4,350,7.942262098,47.51434879,Schupfart
Brassica.napus,Apis.mellifera,1,transect,42,700,A1,OSR,CH,7,5,2020,22,Intensive.agriculture,4,350,7.942262098,47.51434879,Schupfart
Brassica.napus,Apis.mellifera,1,transect,42,700,A1,OSR,CH,7,5,2020,22,Intensive.agriculture,4,350,7.942262098,47.51434879,Schupfart
Brassica.napus,Apis.mellifera,1,transect,42,700,A1,OSR,CH,7,5,2020,22,Intensive.agriculture,4,350,7.942262098,47.51434879,Schupfart
Brassica.napus,Apis.mellifera,1,transect,42,700,A1,OSR,CH,7,5,2020,22,Intensive.agriculture,4,350,7.942262098,47.51434879,Schupfart
