Plant_species,Pollinator_species,Interaction,Sampling_method,Sampling_effort_minutes,Sampling_area_square_meters,Site_id,Habitat,Country,Locality,Latitude,Longitude,Coordinate_precision,Elevation,Day,Month,Year,Comments,Temperature,Humidity
Lavandula angustifolia,Bombus bohemicus,1,Transect,22,600,U4_garden_1,garden,Germany,Halle,51.46136051,11.979064,NA,NA,27,6,2021,2,26.4,NA
Epilobium angustifolium,Bombus hypnorum,1,Transect,15,600,I4_woodland.small_1,woodland.small,Germany,Harzgerode,51.62805798,11.11690477,NA,NA,25,8,2021,3,20.4,NA
Falcaria vulgaris,Andrena nitidiuscula,1,Transect,17,200,I3_ruderal_2,ruderal,Germany,Salziger_See,51.48168245,11.68070435,NA,NA,7,8,2021,3,23.1,NA
Echium vulgare,Bombus hortorum,1,Transect,15,100,R3_arable_6,arable,Germany,Klobikau,51.34389016,11.8472508,NA,NA,22,6,2021,2,16.5,NA
Echium vulgare,Bombus hortorum,1,Transect,10,400,R3_woodland.decidious_3,woodland.decidious,Germany,Klobikau,51.3393162,11.84485868,NA,NA,22,6,2021,2,21.4,NA
Consolida regalis,Bombus hortorum,1,Transect,18,100,I3_ruderal_6,ruderal,Germany,Salziger_See,51.48196654,11.680077,NA,NA,24,6,2021,2,20.7,NA
Lycopsis arvensis,Bombus hortorum,1,Transect,15,500,A1_ruderal_3,ruderal,Germany,Schafstaedt,51.36112732,11.72100293,NA,NA,26,6,2021,2,25,NA
Lycopsis arvensis,Bombus hortorum,1,Transect,28,200,A2_ruderal_5,ruderal,Germany,Gimritz,51.60784645,11.81062668,NA,NA,28,6,2021,2,27.2,NA
Onopordum acanthium,Bombus hortorum,1,Transect,27,500,A2_ruderal_2,ruderal,Germany,Gimritz,51.60817506,11.81532904,NA,NA,28,6,2021,2,32.2,NA
Consolida regalis,Bombus hortorum,1,Transect,16,900,A2_ruderal_4,ruderal,Germany,Gimritz,51.60779794,11.81657384,NA,NA,28,6,2021,2,30.8,NA
Echium vulgare,Bombus hortorum,1,Transect,23,900,A2_ruderal_4,ruderal,Germany,Gimritz,51.60779794,11.81657384,NA,NA,28,6,2021,2,31.8,NA
Echium vulgare,Bombus hortorum,1,Transect,23,900,A2_ruderal_4,ruderal,Germany,Gimritz,51.60779794,11.81657384,NA,NA,28,6,2021,2,31.8,NA
Astragalus glycyphyllos,Bombus hortorum,1,Transect,19,500,A3_woodland.decidious_5,woodland.decidious,Germany,Schortewitz,51.63209472,11.99869194,NA,NA,7,7,2021,2,21.1,NA
Echium vulgare,Bombus hortorum,1,Transect,14,200,R2_semi.natural.grass_5,semi.natural.grass,Germany,Greifenhagen,51.62071855,11.45514654,NA,NA,10,7,2021,2,22.5,NA
Cephalaria gigantea,Bombus hortorum,1,Transect,30,300,U2_garden_5,garden,Germany,Aschersleben,51.75173587,11.46312285,NA,NA,16,7,2021,2,19.2,NA
Clematis vitalba,Bombus hortorum,1,Transect,21,400,U1_ruderal_6,ruderal,Germany,Sangerhausen,51.48042164,11.30875531,NA,NA,20,7,2021,2,18.7,NA
Ballota nigra,Bombus hortorum,1,Transect,21,300,U1_garden_5,garden,Germany,Sangerhausen,51.47641104,11.30404644,NA,NA,20,7,2021,2,20,NA
missing,Bombus hortorum,1,Transect,13,500,U3_garden_2,garden,Germany,Magdeburg,52.1277902,11.61902646,NA,NA,21,7,2021,2,22,NA
Centranthus ruber,Bombus hortorum,1,Transect,14,500,U3_garden_2,garden,Germany,Magdeburg,52.1277902,11.61902646,NA,NA,21,7,2021,2,21.5,NA
Echinops exaltatus,Bombus hortorum,1,Transect,17,500,U3_garden_2,garden,Germany,Magdeburg,52.1277902,11.61902646,NA,NA,21,7,2021,2,22.3,NA
unknown flower,Bombus hortorum,1,Transect,17,500,U3_garden_2,garden,Germany,Magdeburg,52.1277902,11.61902646,NA,NA,21,7,2021,2,22.3,NA
Ballota nigra,Bombus hortorum,1,Transect,14,300,U3_semi.natural.grass_6,semi.natural.grass,Germany,Magdeburg,52.12525249,11.62127952,NA,NA,21,7,2021,2,22.6,NA
Galeopsis tetrahit,Bombus hortorum,1,Transect,14,500,I4_woodland.small_1,woodland.small,Germany,Harzgerode,51.62805798,11.11690477,NA,NA,22,7,2021,2,24.7,NA
Lupinus albus,Bombus hypnorum,1,Transect,10,200,A2_arable_3,arable,Germany,Gimritz,51.60793879,11.81397722,NA,NA,28,6,2021,2,29.4,NA
Cirsium vulgare,Bombus hypnorum,1,Transect,19,600,U2_garden_1,garden,Germany,Aschersleben,51.75587658,11.46085634,NA,NA,16,7,2021,2,22.2,NA
Origanum vulgare,Bombus hypnorum,1,Transect,14,600,U2_garden_1,garden,Germany,Aschersleben,51.75587658,11.46085634,NA,NA,16,7,2021,2,22.7,NA
Symphoricarpos albus,Bombus hypnorum,1,Transect,10,400,U2_garden_2,garden,Germany,Aschersleben,51.75508813,11.45899249,NA,NA,16,7,2021,2,23.2,NA
Symphoricarpos albus,Bombus hypnorum,1,Transect,17,400,U2_garden_2,garden,Germany,Aschersleben,51.75508813,11.45899249,NA,NA,16,7,2021,2,22.8,NA
Origanum vulgare,Bombus hypnorum,1,Transect,18,400,I2_semi.natural.grass_5,semi.natural.grass,Germany,Wallhausen,51.46412144,11.19811116,NA,NA,18,7,2021,2,27.4,NA
Origanum vulgare,Bombus hypnorum,1,Transect,18,400,I2_semi.natural.grass_5,semi.natural.grass,Germany,Wallhausen,51.46412144,11.19811116,NA,NA,18,7,2021,2,29.5,NA
Lepidium draba,Andrena nitidiuscula_c.f.,1,Transect,15,700,U1_ruderal_2,ruderal,Germany,Sangerhausen,51.47701961,11.30763594,NA,NA,7,6,2021,1,22.2,NA
Symphoricarpos albus,Bombus hypnorum,1,Transect,13,100,U1_garden_4,garden,Germany,Sangerhausen,51.47562175,11.30326599,NA,NA,20,7,2021,2,21.5,NA
Malva thuringiaca,Bombus hypnorum,1,Transect,13,700,U1_ruderal_2,ruderal,Germany,Sangerhausen,51.47701961,11.30763594,NA,NA,20,7,2021,2,22.3,NA
Trifolium pratense,Apis mellifera,1,Transect,21,300,U1_semi.natural.grass_1,semi.natural.grass,Germany,Sangerhausen,51.4779208,11.30872409,NA,NA,7,6,2021,1,19.5,NA
Centaurea stoebe,Pseudoanthidium nanum,1,Transect,17,200,A4_ruderal_2,ruderal,Germany,Friedeburg,51.62367286,11.72792865,NA,NA,4,7,2021,2,31.8,NA
Centaurea stoebe,Pseudoanthidium nanum,1,Transect,28,300,A4_woodland.decidious_6,woodland.decidious,Germany,Friedeburg,51.62148742,11.73234447,NA,NA,4,7,2021,2,28.9,NA
Bunias orientalis,Andrena nitidiuscula_c.f.,1,Transect,24,700,U1_ruderal_2,ruderal,Germany,Sangerhausen,51.47701961,11.30763594,NA,NA,7,6,2021,1,22.3,NA
Robinia pseudoacacia,Lasioglossum laticeps,1,Transect,14,400,U2_garden_2,garden,Germany,Aschersleben,51.75508813,11.45899249,NA,NA,8,6,2021,1,23.7,NA
Hypericum perforatum,Lasioglossum laticeps,1,Transect,15,400,R3_woodland.decidious_3,woodland.decidious,Germany,Klobikau,51.3393162,11.84485868,NA,NA,22,6,2021,2,21.2,NA
Echium vulgare,Lasioglossum nitidulum,1,Transect,20,600,U2_garden_1,garden,Germany,Aschersleben,51.75587658,11.46085634,NA,NA,16,7,2021,2,24.1,NA
Hypericum perforatum,Lasioglossum laticeps,1,Transect,75,400,U1_ruderal_6,ruderal,Germany,Sangerhausen,51.48042164,11.30875531,NA,NA,20,7,2021,2,18.4,NA
Solidago canadensis,Lasioglossum politum,1,Transect,22,700,U3_semi.natural.grass_4,semi.natural.grass,Germany,Magdeburg,52.12233816,11.61112659,NA,NA,24,8,2021,3,22,NA
Echium vulgare,Bombus lapidarius,1,Transect,21,700,R3_semi.natural.grass_4,semi.natural.grass,Germany,Klobikau,51.34017775,11.84544706,NA,NA,22,6,2021,2,20.2,NA
Asparagus officinalis,Bombus lapidarius,1,Transect,21,1000,A1_arable_2,arable,Germany,Schafstaedt,51.36062668,11.72540371,NA,NA,26,6,2021,2,26.2,NA
Asparagus officinalis,Bombus lapidarius,1,Transect,21,1000,A1_arable_2,arable,Germany,Schafstaedt,51.36062668,11.72540371,NA,NA,26,6,2021,2,26.2,NA
Asparagus officinalis,Bombus lapidarius,1,Transect,27,1000,A1_arable_2,arable,Germany,Schafstaedt,51.36062668,11.72540371,NA,NA,26,6,2021,2,27.4,NA
Asparagus officinalis,Bombus lapidarius,1,Transect,27,1000,A1_arable_2,arable,Germany,Schafstaedt,51.36062668,11.72540371,NA,NA,26,6,2021,2,27.4,NA
Asparagus officinalis,Bombus lapidarius,1,Transect,27,1000,A1_arable_2,arable,Germany,Schafstaedt,51.36062668,11.72540371,NA,NA,26,6,2021,2,27.4,NA
Asparagus officinalis,Bombus lapidarius,1,Transect,21,1000,A1_arable_2,arable,Germany,Schafstaedt,51.36062668,11.72540371,NA,NA,26,6,2021,2,25.3,NA
Asparagus officinalis,Bombus lapidarius,1,Transect,21,1000,A1_arable_2,arable,Germany,Schafstaedt,51.36062668,11.72540371,NA,NA,26,6,2021,2,25.3,NA
Asparagus officinalis,Bombus lapidarius,1,Transect,13,1000,A1_arable_2,arable,Germany,Schafstaedt,51.36062668,11.72540371,NA,NA,26,6,2021,2,24.3,NA
Asparagus officinalis,Bombus lapidarius,1,Transect,13,1000,A1_arable_2,arable,Germany,Schafstaedt,51.36062668,11.72540371,NA,NA,26,6,2021,2,24.3,NA
Asparagus officinalis,Bombus lapidarius,1,Transect,13,1000,A1_arable_2,arable,Germany,Schafstaedt,51.36062668,11.72540371,NA,NA,26,6,2021,2,25.6,NA
Asparagus officinalis,Bombus lapidarius,1,Transect,13,1000,A1_arable_2,arable,Germany,Schafstaedt,51.36062668,11.72540371,NA,NA,26,6,2021,2,30,NA
Asparagus officinalis,Bombus lapidarius,1,Transect,13,1000,A1_arable_2,arable,Germany,Schafstaedt,51.36062668,11.72540371,NA,NA,26,6,2021,2,30,NA
Asparagus officinalis,Bombus lapidarius,1,Transect,13,1000,A1_arable_2,arable,Germany,Schafstaedt,51.36062668,11.72540371,NA,NA,26,6,2021,2,30,NA
Asparagus officinalis,Bombus lapidarius,1,Transect,9,1000,A1_arable_2,arable,Germany,Schafstaedt,51.36062668,11.72540371,NA,NA,26,6,2021,2,26.3,NA
Melilotus officinalis,Bombus lapidarius,1,Transect,17,300,U4_ruderal_5,ruderal,Germany,Halle,51.46263254,11.98485927,NA,NA,27,6,2021,2,35,NA
Trifolium repens,Bombus lapidarius,1,Transect,16,600,U4_garden_1,garden,Germany,Halle,51.46136051,11.979064,NA,NA,27,6,2021,2,25.3,NA
Trifolium repens,Bombus lapidarius,1,Transect,14,600,U4_garden_1,garden,Germany,Halle,51.46136051,11.979064,NA,NA,27,6,2021,2,27.1,NA
Centaurea cyanus,Bombus lapidarius,1,Transect,28,200,A2_ruderal_5,ruderal,Germany,Gimritz,51.60784645,11.81062668,NA,NA,28,6,2021,2,27.2,NA
Onopordum acanthium,Bombus lapidarius,1,Transect,20,900,A2_ruderal_4,ruderal,Germany,Gimritz,51.60779794,11.81657384,NA,NA,28,6,2021,2,30.5,NA
Echium vulgare,Bombus lapidarius,1,Transect,23,900,A2_ruderal_4,ruderal,Germany,Gimritz,51.60779794,11.81657384,NA,NA,28,6,2021,2,31.8,NA
Echium vulgare,Bombus lapidarius,1,Transect,12,900,A2_ruderal_4,ruderal,Germany,Gimritz,51.60779794,11.81657384,NA,NA,28,6,2021,2,31.1,NA
Echium vulgare,Bombus lapidarius,1,Transect,12,900,A2_ruderal_4,ruderal,Germany,Gimritz,51.60779794,11.81657384,NA,NA,28,6,2021,2,31.1,NA
Trifolium arvense,Bombus lapidarius,1,Transect,16,300,I1_semi.natural.grass_5,semi.natural.grass,Germany,Pretzien,52.0648193,11.72563944,NA,NA,2,7,2021,2,20.2,NA
Lotus corniculatus,Bombus lapidarius,1,Transect,17,300,I1_semi.natural.grass_5,semi.natural.grass,Germany,Pretzien,52.0648193,11.72563944,NA,NA,2,7,2021,2,20.1,NA
Trifolium repens,Bombus lapidarius,1,Transect,10,300,I1_semi.natural.grass_5,semi.natural.grass,Germany,Pretzien,52.0648193,11.72563944,NA,NA,2,7,2021,2,20.2,NA
Hypericum perforatum,Bombus lapidarius,1,Transect,15,200,I1_ruderal_2,ruderal,Germany,Pretzien,52.06326598,11.72687449,NA,NA,2,7,2021,2,20.1,NA
Onopordum acanthium,Bombus lapidarius,1,Transect,26,1000,R1_ruderal_1,ruderal,Germany,Oschersleben,52.03728595,11.1560313,NA,NA,3,7,2021,2,21.1,NA
Onopordum acanthium,Bombus lapidarius,1,Transect,11,1000,R1_ruderal_1,ruderal,Germany,Oschersleben,52.03728595,11.1560313,NA,NA,3,7,2021,2,24.2,NA
Cirsium arvense,Bombus lapidarius,1,Transect,21,800,R1_semi.natural.grass_4,semi.natural.grass,Germany,Oschersleben,52.03291291,11.1554155,NA,NA,3,7,2021,2,23.2,NA
Cirsium palustre,Bombus lapidarius,1,Transect,17,800,R1_semi.natural.grass_4,semi.natural.grass,Germany,Oschersleben,52.03291291,11.1554155,NA,NA,3,7,2021,2,26.5,NA
Reseda lutea,Bombus lapidarius,1,Transect,17,1000,R1_ruderal_1,ruderal,Germany,Oschersleben,52.03728595,11.1560313,NA,NA,3,7,2021,2,25.3,NA
Reseda lutea,Bombus lapidarius,1,Transect,17,1000,R1_ruderal_1,ruderal,Germany,Oschersleben,52.03728595,11.1560313,NA,NA,3,7,2021,2,25.3,NA
Convolvulus arvensis,Bombus lapidarius,1,Transect,10,1000,R1_ruderal_1,ruderal,Germany,Oschersleben,52.03728595,11.1560313,NA,NA,3,7,2021,2,28,NA
Onopordum acanthium,Bombus lapidarius,1,Transect,12,1000,R1_ruderal_1,ruderal,Germany,Oschersleben,52.03728595,11.1560313,NA,NA,3,7,2021,2,26.7,NA
Centaurea scabiosa,Bombus lapidarius,1,Transect,17,300,A4_semi.natural.grass_5,semi.natural.grass,Germany,Friedeburg,51.62040805,11.72938127,NA,NA,4,7,2021,2,29.9,NA
Centaurea stoebe,Bombus lapidarius,1,Transect,28,300,A4_woodland.decidious_6,woodland.decidious,Germany,Friedeburg,51.62148742,11.73234447,NA,NA,4,7,2021,2,28.9,NA
Carduus acanthoides,Bombus lapidarius,1,Transect,19,900,A4_woodland.scrub_1,woodland.scrub,Germany,Friedeburg,51.62061429,11.72109892,NA,NA,4,7,2021,2,30.2,NA
