Day,Month,Year,Site_id,Plant_species,Flower_count,Units,Comment
11,7,2019,K1,Achillea millefolium,0.989103565,percent cover of flowering plants,
11,7,2019,K1,Cerastium fontanum,0.213387242,percent cover of flowering plants,
11,7,2019,K1,Cirsium helenoides,2.015112478,percent cover of flowering plants,
11,7,2019,K1,Cirsium palustre,0.012388503,percent cover of flowering plants,
11,7,2019,K1,Comarum palustre,0.08472502,percent cover of flowering plants,
11,7,2019,K1,Epilobium angustifolium,0.024777007,percent cover of flowering plants,
11,7,2019,K1,Filipendula ulmaria,1.039908403,percent cover of flowering plants,
11,7,2019,K1,Galium uliginosum,1.258258218,percent cover of flowering plants,
11,7,2019,K1,Geranium sylvaticum,6.515762736,percent cover of flowering plants,
11,7,2019,K1,Leontodon autumnalis,0.03716551,percent cover of flowering plants,
11,7,2019,K1,Melampyrum pratense,16.94310441,percent cover of flowering plants,
11,7,2019,K1,Melampyrum sylvaticum,5.37109375,percent cover of flowering plants,
11,7,2019,K1,Parnassia palustris,0.073242188,percent cover of flowering plants,
11,7,2019,K1,Pinguicula vulgaris,0.145254199,percent cover of flowering plants,
11,7,2019,K1,Ranunculus acris,44.72847863,percent cover of flowering plants,
11,7,2019,K1,Rubus arcticus,2.776048606,percent cover of flowering plants,
11,7,2019,K1,Silene dioica,1.397460719,percent cover of flowering plants,
11,7,2019,K1,Solidago virgaurea,0.990822342,percent cover of flowering plants,
11,7,2019,K1,Stellaria graminea,9.375691656,percent cover of flowering plants,
11,7,2019,K1,Trientalis europaea,1.347742979,percent cover of flowering plants,
11,7,2019,K1,Trifolium repens,0.08833018,percent cover of flowering plants,
11,7,2019,K1,Valeriana sambucifolia,0.414306507,percent cover of flowering plants,
11,7,2019,K1,Veronica longifolia,2.892287571,percent cover of flowering plants,
11,7,2019,K1,Vicia cracca,0.183816816,percent cover of flowering plants,
13,7,2019,K2,Achillea millefolium,1.347709645,percent cover of flowering plants,
13,7,2019,K2,Achillea ptarmica,0.653339461,percent cover of flowering plants,
13,7,2019,K2,Anthriscus sylvestris,20.51324185,percent cover of flowering plants,
13,7,2019,K2,Astragalus alpinus,3.531709627,percent cover of flowering plants,
13,7,2019,K2,Cirsium palustre,0.507548309,percent cover of flowering plants,
13,7,2019,K2,Epilobium angustifolium,1.860906863,percent cover of flowering plants,
13,7,2019,K2,Geranium sylvaticum,1.314632115,percent cover of flowering plants,
13,7,2019,K2,Lathyrus pratensis,2.075440549,percent cover of flowering plants,
13,7,2019,K2,Leontodon autumnalis,0.173264618,percent cover of flowering plants,
13,7,2019,K2,Linnaea borealis,0.816920173,percent cover of flowering plants,
13,7,2019,K2,Melampyrum pratense,3.149774191,percent cover of flowering plants,
13,7,2019,K2,Melampyrum sylvaticum,1.139322917,percent cover of flowering plants,
13,7,2019,K2,Ranunculus acris,11.73183303,percent cover of flowering plants,
13,7,2019,K2,Rubus arcticus,0.041152263,percent cover of flowering plants,
13,7,2019,K2,Rumex acetosa,1.120524297,percent cover of flowering plants,
13,7,2019,K2,Silene dioica,31.40459581,percent cover of flowering plants,
13,7,2019,K2,Solidago virgaurea,0.029411765,percent cover of flowering plants,
13,7,2019,K2,Stellaria graminea,16.05804604,percent cover of flowering plants,
13,7,2019,K2,Tanacetum vulgare,0.029411765,percent cover of flowering plants,
13,7,2019,K2,Trientalis europaea,0.010288066,percent cover of flowering plants,
13,7,2019,K2,Trifolium repens,1.25,percent cover of flowering plants,
13,7,2019,K2,Vaccinium vitis-idaea,0.18115942,percent cover of flowering plants,
13,7,2019,K2,Veronica longifolia,0.303683551,percent cover of flowering plants,
13,7,2019,K2,Vicia cracca,0.756083683,percent cover of flowering plants,
13,7,2019,K3,Achillea millefolium,0.200284063,percent cover of flowering plants,
13,7,2019,K3,Anthriscus sylvestris,29.68478739,percent cover of flowering plants,
13,7,2019,K3,Geranium sylvaticum,16.78957611,percent cover of flowering plants,
13,7,2019,K3,Ranunculus acris,6.870702517,percent cover of flowering plants,
13,7,2019,K3,Rumex acetosa,13.20375834,percent cover of flowering plants,
13,7,2019,K3,Silene dioica,32.13037837,percent cover of flowering plants,
13,7,2019,K3,Solidago virgaurea,0.092630712,percent cover of flowering plants,
13,7,2019,K3,Tanacetum vulgare,0.012512513,percent cover of flowering plants,
13,7,2019,K3,Taraxacum spp.,0.52335142,percent cover of flowering plants,
13,7,2019,K3,Veronica longifolia,0.467361349,percent cover of flowering plants,
12,7,2019,K4,Achillea millefolium,1.748393159,percent cover of flowering plants,
12,7,2019,K4,Anthriscus sylvestris,0.062468766,percent cover of flowering plants,
12,7,2019,K4,Epilobium angustifolium,0.523878686,percent cover of flowering plants,
12,7,2019,K4,Euphrasia spp.,2.553143056,percent cover of flowering plants,
12,7,2019,K4,Heracleum sphondylium,0.011634808,percent cover of flowering plants,
12,7,2019,K4,Leontodon autumnalis,0.381813988,percent cover of flowering plants,
12,7,2019,K4,Ranunculus acris,7.94563353,percent cover of flowering plants,
12,7,2019,K4,Silene dioica,0.344501092,percent cover of flowering plants,
12,7,2019,K4,Silene vulgaris,0.215591583,percent cover of flowering plants,
12,7,2019,K4,Stellaria graminea,0.88305377,percent cover of flowering plants,
12,7,2019,K4,Tanacetum vulgare,4.037043978,percent cover of flowering plants,
12,7,2019,K4,Trifolium pratense,20.695151,percent cover of flowering plants,
12,7,2019,K4,Trifolium repens,27.0438849,percent cover of flowering plants,
12,7,2019,K4,Veronica longifolia,0.304970663,percent cover of flowering plants,
12,7,2019,K4,Vicia cracca,8.24883702,percent cover of flowering plants,
2,7,2019,L1,Achillea millefolium,9.315,percent cover of flowers,
2,7,2019,L1,Aegopodium podagraria,12.1,percent cover of flowers,
2,7,2019,L1,Alchemilla sp.,0.2,percent cover of flowers,
2,7,2019,L1,Anthriscus sylvestris,5.1,percent cover of flowers,
2,7,2019,L1,Campanula patula,0.105,percent cover of flowers,
2,7,2019,L1,Cerastium fontanum,0.015,percent cover of flowers,
2,7,2019,L1,Cerastium holosteoides,0.01,percent cover of flowers,
2,7,2019,L1,Chenopodium album,0.025,percent cover of flowers,
2,7,2019,L1,Cirsium arvense,2.1,percent cover of flowers,
2,7,2019,L1,Cirsium heterophyllum,3.6,percent cover of flowers,
2,7,2019,L1,Cirsium palustre,0.01,percent cover of flowers,
2,7,2019,L1,Crepis sp.,0.01,percent cover of flowers,
2,7,2019,L1,Dianthus deltoides,0.1,percent cover of flowers,
2,7,2019,L1,Epilobium angustifolium,1,percent cover of flowers,
2,7,2019,L1,Epilobium montanum,0.01,percent cover of flowers,
2,7,2019,L1,Fallopia convolvulus,0.01,percent cover of flowers,
2,7,2019,L1,Filipendula ulmaria,0.015,percent cover of flowers,
2,7,2019,L1,Galeopsis bifida,0.03,percent cover of flowers,
2,7,2019,L1,Galeopsis speciosa,0.07,percent cover of flowers,
2,7,2019,L1,Galium album,10.145,percent cover of flowers,
2,7,2019,L1,Hypericum maculatum,1,percent cover of flowers,
2,7,2019,L1,Knautia arvensis,0.125,percent cover of flowers,
2,7,2019,L1,Lapsana communis,0.035,percent cover of flowers,
2,7,2019,L1,Lathyrus pratensis,0.015,percent cover of flowers,
2,7,2019,L1,Leucanthemum vulgare,0.115,percent cover of flowers,
2,7,2019,L1,Lupinus polyphyllos,5.6,percent cover of flowers,
2,7,2019,L1,Myosotis arvensis,0.01,percent cover of flowers,
2,7,2019,L1,Prunella vulgaris,0.01,percent cover of flowers,
2,7,2019,L1,Ranunculus acris,0.025,percent cover of flowers,
2,7,2019,L1,Rumex acetosa,0.025,percent cover of flowers,
2,7,2019,L1,Rumex acetosella,0.01,percent cover of flowers,
2,7,2019,L1,Silene dioica,1.14,percent cover of flowers,
2,7,2019,L1,Silene vulgaris,0.015,percent cover of flowers,
2,7,2019,L1,Stellaria graminea,0.3,percent cover of flowers,
2,7,2019,L1,Trifolium pratense,0.025,percent cover of flowers,
2,7,2019,L1,Trifolium repens,0.025,percent cover of flowers,
2,7,2019,L1,Urtica dioica,0.36,percent cover of flowers,
2,7,2019,L1,Valeriana officinalis,0.015,percent cover of flowers,
2,7,2019,L1,Veronica chamaedrys,3.2,percent cover of flowers,
2,7,2019,L1,Vicia cracca,0.145,percent cover of flowers,
2,7,2019,L1,Vicia sepium,0.02,percent cover of flowers,
1,7,2019,L2,Achillea millefolium,8.89375,percent cover of flowers,
1,7,2019,L2,Aegopodium podagraria,1.25,percent cover of flowers,
1,7,2019,L2,Alchemilla sp.,0.01875,percent cover of flowers,
1,7,2019,L2,Anthriscus sylvestris,0.125,percent cover of flowers,
