Plant_species,Pollinator_species,Interaction,Sampling_method,Sampling_effort_minutes,Sampling_area_square_meters,Site_id,Habitat,Country,Locality,Latitude,Longitude,Coordinate_precision,Elevation,Day,Month,Year,Comments,Temperature,Humidity
Geranium sylvaticum L.,Episyrphus balteatus,1,transect,120,120,K1,grassland,Finland,Kittilä,67.684,24.857,,,11,7,2019,,,
Geranium sylvaticum L.,Eriozona erratica,1,transect,120,120,K1,grassland,Finland,Kittilä,67.684,24.857,,,11,7,2019,,,
Geranium sylvaticum L.,Thricops,1,transect,120,120,K1,grassland,Finland,Kittilä,67.684,24.857,,,11,7,2019,,,
Geranium sylvaticum L.,Thricops,1,transect,120,120,K1,grassland,Finland,Kittilä,67.684,24.857,,,11,7,2019,,,
Geranium sylvaticum L.,Thricops,1,transect,120,120,K1,grassland,Finland,Kittilä,67.684,24.857,,,11,7,2019,,,
Geranium sylvaticum L.,Thricops,1,transect,120,120,K1,grassland,Finland,Kittilä,67.684,24.857,,,11,7,2019,,,
Geranium sylvaticum L.,Pipiza notata,1,transect,120,120,K1,grassland,Finland,Kittilä,67.684,24.857,,,11,7,2019,,,
Geranium sylvaticum L.,Syrphus ribesii,1,transect,120,120,K1,grassland,Finland,Kittilä,67.684,24.857,,,11,7,2019,,,
Geranium sylvaticum L.,Bombus pascuorum,1,transect,120,120,K1,grassland,Finland,Kittilä,67.684,24.857,,,11,7,2019,,,
Geranium sylvaticum L.,Bombus pratorum,1,transect,120,120,K1,grassland,Finland,Kittilä,67.684,24.857,,,11,7,2019,,,
Geranium sylvaticum L.,Bombus pratorum,1,transect,120,120,K1,grassland,Finland,Kittilä,67.684,24.857,,,11,7,2019,,,
Melampyrum pratense L.,Syrphus sexmaculatus,1,transect,120,120,K1,grassland,Finland,Kittilä,67.684,24.857,,,11,7,2019,,,
Ranunculus acris L.,Episyrphus balteatus,1,transect,120,120,K1,grassland,Finland,Kittilä,67.684,24.857,,,11,7,2019,,,
Ranunculus acris L.,Parasyrphus tarsatus,1,transect,120,120,K1,grassland,Finland,Kittilä,67.684,24.857,,,11,7,2019,,,
Ranunculus acris L.,Pipiza quadrimaculata,1,transect,120,120,K1,grassland,Finland,Kittilä,67.684,24.857,,,11,7,2019,,,
Ranunculus acris L.,Syrphus ribesii,1,transect,120,120,K1,grassland,Finland,Kittilä,67.684,24.857,,,11,7,2019,,,
Ranunculus acris L.,Thricops,1,transect,120,120,K1,grassland,Finland,Kittilä,67.684,24.857,,,11,7,2019,,,
Ranunculus acris L.,Thricops,1,transect,120,120,K1,grassland,Finland,Kittilä,67.684,24.857,,,11,7,2019,,,
Ranunculus acris L.,Thricops,1,transect,120,120,K1,grassland,Finland,Kittilä,67.684,24.857,,,11,7,2019,,,
Ranunculus acris L.,Thricops,1,transect,120,120,K1,grassland,Finland,Kittilä,67.684,24.857,,,11,7,2019,,,
Ranunculus acris L.,Thricops,1,transect,120,120,K1,grassland,Finland,Kittilä,67.684,24.857,,,11,7,2019,,,
Ranunculus acris L.,Thricops,1,transect,120,120,K1,grassland,Finland,Kittilä,67.684,24.857,,,11,7,2019,,,
Ranunculus acris L.,Thricops,1,transect,120,120,K1,grassland,Finland,Kittilä,67.684,24.857,,,11,7,2019,,,
Ranunculus acris L.,Thricops,1,transect,120,120,K1,grassland,Finland,Kittilä,67.684,24.857,,,11,7,2019,,,
Ranunculus acris L.,Thricops,1,transect,120,120,K1,grassland,Finland,Kittilä,67.684,24.857,,,11,7,2019,,,
Ranunculus acris L.,Thricops,1,transect,120,120,K1,grassland,Finland,Kittilä,67.684,24.857,,,11,7,2019,,,
Ranunculus acris L.,Thricops,1,transect,120,120,K1,grassland,Finland,Kittilä,67.684,24.857,,,11,7,2019,,,
Ranunculus acris L.,Thricops,1,transect,120,120,K1,grassland,Finland,Kittilä,67.684,24.857,,,11,7,2019,,,
Ranunculus acris L.,Thricops,1,transect,120,120,K1,grassland,Finland,Kittilä,67.684,24.857,,,11,7,2019,,,
Ranunculus acris L.,Thricops,1,transect,120,120,K1,grassland,Finland,Kittilä,67.684,24.857,,,11,7,2019,,,
Ranunculus acris L.,Thricops,1,transect,120,120,K1,grassland,Finland,Kittilä,67.684,24.857,,,11,7,2019,,,
Ranunculus acris L.,Thricops,1,transect,120,120,K1,grassland,Finland,Kittilä,67.684,24.857,,,11,7,2019,,,
Ranunculus acris L.,Thricops,1,transect,120,120,K1,grassland,Finland,Kittilä,67.684,24.857,,,11,7,2019,,,
Ranunculus acris L.,Thricops,1,transect,120,120,K1,grassland,Finland,Kittilä,67.684,24.857,,,11,7,2019,,,
Ranunculus acris L.,Thricops,1,transect,120,120,K1,grassland,Finland,Kittilä,67.684,24.857,,,11,7,2019,,,
Ranunculus acris L.,Thricops,1,transect,120,120,K1,grassland,Finland,Kittilä,67.684,24.857,,,11,7,2019,,,
Ranunculus acris L.,Thricops,1,transect,120,120,K1,grassland,Finland,Kittilä,67.684,24.857,,,11,7,2019,,,
Ranunculus acris L.,Thricops,1,transect,120,120,K1,grassland,Finland,Kittilä,67.684,24.857,,,11,7,2019,,,
Ranunculus acris L.,Thricops,1,transect,120,120,K1,grassland,Finland,Kittilä,67.684,24.857,,,11,7,2019,,,
Ranunculus acris L.,Thricops,1,transect,120,120,K1,grassland,Finland,Kittilä,67.684,24.857,,,11,7,2019,,,
Ranunculus acris L.,Thricops,1,transect,120,120,K1,grassland,Finland,Kittilä,67.684,24.857,,,11,7,2019,,,
Ranunculus acris L.,Syrphus vitripennis,1,transect,120,120,K1,grassland,Finland,Kittilä,67.684,24.857,,,11,7,2019,,,
Solidago virgaurea L.,Bombus pratorum,1,transect,120,120,K1,grassland,Finland,Kittilä,67.684,24.857,,,11,7,2019,,,
Stellaria graminea L.,Thricops,1,transect,120,120,K1,grassland,Finland,Kittilä,67.684,24.857,,,11,7,2019,,,
Stellaria graminea L.,Thricops,1,transect,120,120,K1,grassland,Finland,Kittilä,67.684,24.857,,,11,7,2019,,,
Stellaria graminea L.,Thricops,1,transect,120,120,K1,grassland,Finland,Kittilä,67.684,24.857,,,11,7,2019,,,
Valeriana excelsa Poir.,Cheilosia flavissima,1,transect,120,120,K1,grassland,Finland,Kittilä,67.684,24.857,,,11,7,2019,,,
Geranium sylvaticum L.,Lepidoptera,1,transect,120,120,K1,grassland,Finland,Kittilä,67.684,24.857,,,16,7,2019,,,
Achillea millefolium L.,Thricops,1,transect,120,120,K1,grassland,Finland,Kittilä,67.684,24.857,,,16,7,2019,,,
Cirsium heterophyllum (L.) Hill,Fannia,1,transect,120,120,K1,grassland,Finland,Kittilä,67.684,24.857,,,16,7,2019,,,
Cirsium heterophyllum (L.) Hill,Thricops,1,transect,120,120,K1,grassland,Finland,Kittilä,67.684,24.857,,,16,7,2019,,,
Cirsium heterophyllum (L.) Hill,Thricops,1,transect,120,120,K1,grassland,Finland,Kittilä,67.684,24.857,,,16,7,2019,,,
Cirsium heterophyllum (L.) Hill,Thricops,1,transect,120,120,K1,grassland,Finland,Kittilä,67.684,24.857,,,16,7,2019,,,
Cirsium heterophyllum (L.) Hill,Thricops,1,transect,120,120,K1,grassland,Finland,Kittilä,67.684,24.857,,,16,7,2019,,,
Cirsium heterophyllum (L.) Hill,Thricops,1,transect,120,120,K1,grassland,Finland,Kittilä,67.684,24.857,,,16,7,2019,,,
Cirsium heterophyllum (L.) Hill,Thricops,1,transect,120,120,K1,grassland,Finland,Kittilä,67.684,24.857,,,16,7,2019,,,
Cirsium heterophyllum (L.) Hill,Thricops,1,transect,120,120,K1,grassland,Finland,Kittilä,67.684,24.857,,,16,7,2019,,,
Cirsium heterophyllum (L.) Hill,Thricops,1,transect,120,120,K1,grassland,Finland,Kittilä,67.684,24.857,,,16,7,2019,,,
Cirsium heterophyllum (L.) Hill,Thricops,1,transect,120,120,K1,grassland,Finland,Kittilä,67.684,24.857,,,16,7,2019,,,
Cirsium heterophyllum (L.) Hill,Thricops,1,transect,120,120,K1,grassland,Finland,Kittilä,67.684,24.857,,,16,7,2019,,,
Cirsium heterophyllum (L.) Hill,Thricops,1,transect,120,120,K1,grassland,Finland,Kittilä,67.684,24.857,,,16,7,2019,,,
Cirsium heterophyllum (L.) Hill,Volucella bombylans,1,transect,120,120,K1,grassland,Finland,Kittilä,67.684,24.857,,,16,7,2019,,,
Comarum palustre L.,Thricops,1,transect,120,120,K1,grassland,Finland,Kittilä,67.684,24.857,,,16,7,2019,,,
Comarum palustre L.,Thricops,1,transect,120,120,K1,grassland,Finland,Kittilä,67.684,24.857,,,16,7,2019,,,
Geranium sylvaticum L.,Dasysyrphus  intrudens,1,transect,120,120,K1,grassland,Finland,Kittilä,67.684,24.857,,,16,7,2019,,,
Geranium sylvaticum L.,Erebia ligea,1,transect,120,120,K1,grassland,Finland,Kittilä,67.684,24.857,,,16,7,2019,,,
Geranium sylvaticum L.,Pipiza noctiluca,1,transect,120,120,K1,grassland,Finland,Kittilä,67.684,24.857,,,16,7,2019,,,
Geranium sylvaticum L.,Thricops,1,transect,120,120,K1,grassland,Finland,Kittilä,67.684,24.857,,,16,7,2019,,,
Geranium sylvaticum L.,Thricops,1,transect,120,120,K1,grassland,Finland,Kittilä,67.684,24.857,,,16,7,2019,,,
Geranium sylvaticum L.,Thricops,1,transect,120,120,K1,grassland,Finland,Kittilä,67.684,24.857,,,16,7,2019,,,
Geranium sylvaticum L.,Volucella bombylans,1,transect,120,120,K1,grassland,Finland,Kittilä,67.684,24.857,,,16,7,2019,,,
Geranium sylvaticum L.,Bombus pratorum,1,transect,120,120,K1,grassland,Finland,Kittilä,67.684,24.857,,,16,7,2019,,,
Melampyrum sylvaticum L.,Chrysotoxum arcuatum,1,transect,120,120,K1,grassland,Finland,Kittilä,67.684,24.857,,,16,7,2019,,,
Melampyrum sylvaticum L.,Meliscaeva cinctella,1,transect,120,120,K1,grassland,Finland,Kittilä,67.684,24.857,,,16,7,2019,,,
Melampyrum sylvaticum L.,Platycheirus amplus,1,transect,120,120,K1,grassland,Finland,Kittilä,67.684,24.857,,,16,7,2019,,,
Ranunculus acris L.,Phaonia,1,transect,120,120,K1,grassland,Finland,Kittilä,67.684,24.857,,,16,7,2019,,,
Ranunculus acris L.,Syrphus ribesii,1,transect,120,120,K1,grassland,Finland,Kittilä,67.684,24.857,,,16,7,2019,,,
Ranunculus acris L.,Thricops,1,transect,120,120,K1,grassland,Finland,Kittilä,67.684,24.857,,,16,7,2019,,,
Ranunculus acris L.,Thricops,1,transect,120,120,K1,grassland,Finland,Kittilä,67.684,24.857,,,16,7,2019,,,
Ranunculus acris L.,Thricops,1,transect,120,120,K1,grassland,Finland,Kittilä,67.684,24.857,,,16,7,2019,,,
Ranunculus acris L.,Thricops,1,transect,120,120,K1,grassland,Finland,Kittilä,67.684,24.857,,,16,7,2019,,,
Ranunculus acris L.,Thricops,1,transect,120,120,K1,grassland,Finland,Kittilä,67.684,24.857,,,16,7,2019,,,
Ranunculus acris L.,Thricops,1,transect,120,120,K1,grassland,Finland,Kittilä,67.684,24.857,,,16,7,2019,,,
Ranunculus acris L.,Thricops,1,transect,120,120,K1,grassland,Finland,Kittilä,67.684,24.857,,,16,7,2019,,,
Ranunculus acris L.,Thricops,1,transect,120,120,K1,grassland,Finland,Kittilä,67.684,24.857,,,16,7,2019,,,
Ranunculus acris L.,Thricops,1,transect,120,120,K1,grassland,Finland,Kittilä,67.684,24.857,,,16,7,2019,,,
Ranunculus acris L.,Thricops,1,transect,120,120,K1,grassland,Finland,Kittilä,67.684,24.857,,,16,7,2019,,,
Ranunculus acris L.,Thricops,1,transect,120,120,K1,grassland,Finland,Kittilä,67.684,24.857,,,16,7,2019,,,
Ranunculus acris L.,Thricops,1,transect,120,120,K1,grassland,Finland,Kittilä,67.684,24.857,,,16,7,2019,,,
Ranunculus acris L.,Thricops,1,transect,120,120,K1,grassland,Finland,Kittilä,67.684,24.857,,,16,7,2019,,,
Ranunculus acris L.,Thricops,1,transect,120,120,K1,grassland,Finland,Kittilä,67.684,24.857,,,16,7,2019,,,
Ranunculus acris L.,Thricops,1,transect,120,120,K1,grassland,Finland,Kittilä,67.684,24.857,,,16,7,2019,,,
Ranunculus acris L.,Thricops,1,transect,120,120,K1,grassland,Finland,Kittilä,67.684,24.857,,,16,7,2019,,,
Ranunculus acris L.,Thricops,1,transect,120,120,K1,grassland,Finland,Kittilä,67.684,24.857,,,16,7,2019,,,
