Network,Plot,Altitude_m,Observer,Observation_time
1,1,950,GB,07:32:00
2,2,1170,GB,06:47:00
3,1,950,GB,05:08:00
4,2,1170,GB,06:19:00
5,3,1340,GB,05:17:00
6,1,950,GB,07:20:00
7,2,1170,LM,06:38:00
8,4,1700,GB,05:59:00
9,5,1800,LM,06:02:00
10,3,1340,LM,05:43:00
11,5,1800,LM,07:06:00
12,6,2020,GB,05:05:00
13,3,1340,GB,06:00:00
14,4,1700,LM,06:03:00
16,1,950,LM,06:33:00
17,2,1170,GB,06:11:00
18,4,1700,LM,06:05:00
19,5,1800,GB,05:53:00
20,2,1170,LM,06:01:00
21,3,1340,GB,07:07:00
22,1,950,GB,06:26:00
23,6,2020,GB,06:48:00
24,5,1800,LM,07:19:00
25,4,1700,GB,06:05:00
26,3,1340,LM,06:28:00
27,2,1170,GB,06:23:00
28,1,950,GB,06:20:00
29,6,2020,LM,06:02:00
30,5,1800,GB,06:46:00
31,4,1700,GB,06:53:00
32,3,1340,LM,06:10:00
33,2,1170,LM,06:02:00
34,1,950,GB,06:18:00
35,6,2020,GB,04:45:00
36,5,1800,GB,05:51:00
37,6,2020,GB,06:39:00
38,5,1800,SN,05:38:00
39,2,1170,GB,05:23:00
40,1,950,SN,07:09:00
41,4,1700,GB,05:54:00
42,3,1340,SN,05:46:00
43,6,2020,GB,06:00:00
44,5,1800,SN,06:06:00
45,4,1700,GB,06:11:00
46,3,1340,SN,05:58:00
47,2,1170,GB,05:56:00
48,1,950,SN,06:13:00
49,6,2020,GB,06:18:00
50,5,1800,SN,06:06:00
51,4,1700,SN,06:08:00
52,3,1340,GB,05:55:00
53,2,1170,GB,06:23:00
54,1,950,SN,06:07:00
55,6,2020,GB,06:55:00
56,5,1800,SN,06:12:00
57,4,1700,SN,06:09:00
58,3,1340,GB,06:16:00
59,2,1170,SN,06:07:00
60,1,950,GB,05:45:00
61,6,2020,SN,06:23:00
62,5,1800,GB,06:26:00
63,4,1700,GB,06:07:00
64,3,1340,SN,06:14:00
65,2,1170,SN,06:13:00
66,1,950,GB,05:54:00
67,3,1340,GB,06:27:00
68,2,1170,SN,06:11:00
69,1,950,GB,05:15:00
