Species,Family,Colour,KuglerType
Achillea clavennae,Asteraceae,white,7
Achillea millefolium,Asteraceae,white,7
Acinos alpinus,Lamiaceae,violet,5
Aconitum lycoctonum,Ranunculaceae,yellow,5
Aconitum napellus,Ranunculaceae,blue,5
Adenostyles alliariae,Asteraceae,red,7
Ajuga reptans,Lamiaceae,blue,5
Allium lusitanicum,Alliaceae,violet,1
Androsace chamaejasme,Primulaceae,white,4
Anemone narcissiflora,Ranunculaceae,white,1
Antennaria carpatica,Asteraceae,white,7
Anthericum ramosum,Liliaceae,white,1
Anthriscus nitidus,Apiaceae,white,1
Anthyllis vulneraria,Fabaceae,yellow,6
Aquilegia vulgaris,Ranunculaceae,violet,3
Arabis ciliata,Brassicaceae,white,1
Asteraceae sp. 1,Asteraceae,yellow,7
Asteraceae sp. 2,Asteraceae,yellow,7
Asteraceae sp. 3,Asteraceae,yellow,7
Asteraceae sp. 4,Asteraceae,yellow,7
Asteraceae sp. 5,Asteraceae,yellow,7
Aster bellidiastrum,Asteraceae,white,7
Bartsia alpina,Lamiaceae,violet,5
Betonica alopecuros,Lamiaceae,yellow,5
Biscutella laevigata,Brassicaceae,yellow,1
Buphthalmum salicifolium,Asteraceae,yellow,7
Campanula cochleariifolia,Campanulaceae,blue,3
Campanula scheuchzeri,Campanulaceae,violet,3
Cardamine enneaphyllos,Brassicaceae,white,1
Cardamine pratensis,Brassicaceae,violet,1
Carduus defloratus,Asteraceae,purple,7
Carlina acaulis,Asteraceae,white,7
Carum carvi,Apiaceae,white,1
Centaurea jacea,Asteraceae,purple,7
Cerastium fontanum,Caryophyllaceae,white,1
Chaerophyllum hirsutum,Apiaceae,white,1
Chaerophyllum hirsutum ssp. Villarsii,Apiaceae,white,1
Cicerbita alpina,Asteraceae,violet,7
Cirsium arvense,Asteraceae,pink,7
Clematis alpina,Ranunculaceae,blue,1
Clinopodium vulgare,Lamiaceae,purple,5
Coeloglossum viride,Orchidaceae,brown,5
Crepis aurea,Asteraceae,orange,7
Crepis paludosa,Asteraceae,yellow,7
Crepis sp.,Asteraceae,yellow,7
Cuscuta epithymum,Cuscutaceae,pink,3
Dactylorhiza maculata,Orchidaceae,pink,5
Daphne mezereum,Thymelaeceae,pink,4
Dryas octopetala,Rosaceae,white,1
Epilobium montanum,Onagraceae,pink,1
Epipactis atrorubens,Orchidaceae,brown,5
Erica carnea,Ericaceae,red,3
Erigeron glabratus,Asteraceae,violet,7
Eupatorium cannabinum,Asteraceae,pink,7
Euphorbia cyparissias,Euphorbiaceae,green,1
Euphrasia minima,Scrophulariaceae,yellow,5
Euphrasia officinalis,Scrophulariaceae,white,5
Fragaria vesca,Rosaceae,white,1
Galeobdolon luteum,Lamiaceae,yellow,5
Galium album,Rubiaceae,white,1
Galium uliginosum,Rubiaceae,white,1
Gentiana clusii,Gentianaceae,blue,2
Gentiana pannonica,Gentianaceae,purple,2
Gentiana utriculosa,Gentianaceae,blue,4
Gentiana verna,Gentianaceae,blue,4
Gentianella aspera,Gentianaceae,violet,2
Gentianella ciliata,Gentianaceae,blue,2
Geranium sylvaticum,Geraniaceae,violet,1
Geum rivale,Rosaceae,red,3
Globularia cordifolia,Globulariaceae,blue,7
Gymnadenia conopsea,Orchidaceae,purple,5
Gymnadenia odoratissima,Orchidaceae,purple,5
Gypsophila repens,Caryophyllaceae,white,2
Hedysarum hedysaroides,Fabaceae,purple,6
Helianthemum alpestre,Cistaceae,yellow,1
Helianthemum nummularium,Cistaceae,yellow,1
Heracleum austriacum,Apiaceae,white,1
Heracleum sphondylium,Apiaceae,white,1
Hieracium aurantiacum,Asteraceae,orange,7
Hieracium bifidum,Asteraceae,yellow,7
Hieracium glanduliferum,Asteraceae,yellow,7
Hieracium glaucum,Asteraceae,yellow,7
Hieracium pilosella,Asteraceae,yellow,7
Hieracium pilosum,Asteraceae,yellow,7
Hieracium sp. 1,Asteraceae,yellow,7
Hieracium sp. 2,Asteraceae,yellow,7
Hieracium sp. 3,Asteraceae,yellow,7
Hieracium sp. 4,Asteraceae,yellow,7
Hippocrepis comosa,Fabaceae,yellow,6
Homogyne alpina,Asteraceae,violet,7
Hypericum maculatum,Hypericaceae,yellow,1
Knautia dipsacifolia,Dipsacaceae,violet,1
Laserpitium siler,Apiaceae,white,1
Leontodon hispidus,Asteraceae,yellow,7
Leontodon sp.,Asteraceae,yellow,7
Leontopodium alpinum,Asteraceae,yellow,7
Leucanthemum adustum,Asteraceae,white,7
Ligusticum mutellina,Apiaceae,white,1
Listera ovata,Orchidaceae,green,5
Lotus corniculatus,Fabaceae,yellow,6
Lysimachia nemorum,Primulaceae,yellow,1
Maianthemum bifolium,Liliaceae,white,1
Melampyrum pratense,Scrophulariaceae,yellow,5
Melampyrum sylvaticum,Scrophulariaceae,yellow,5
Myosotis alpestris,Boraginaceae,blue,4
Nigritella nigra,Orchidaceae,purple,7
Orchis ustulata,Orchidaceae,purple,5
Oxalis acetosella,Oxalidaceae,white,1
Parnassia palustris,Parnassiaceae,white,1
Pedicularis rostratocapitata,Scrophulariaceae,purple,5
Phyteuma orbiculare,Campanulaceae,blue,7
Pimpinella major,Apiaceae,white,1
Pinguicula alpina,Lentibulariaceae,white,1
Plantago lanceolata,Plantaginaceae,brown,0
Plantago media,Plantaginaceae,white,0
Platanthera bifolia,Orchidaceae,white,5
Polygala alpestris,Polygalaceae,blue,6
Polygala amarella,Polygalaceae,blue,6
Polygala chamaebuxus,Polygalaceae,yellow,6
Polygonum viviparum,Polygonaceae,white,3
Potentilla aurea,Rosaceae,yellow,1
Potentilla erecta,Rosaceae,yellow,1
Prenanthes purpurea,Asteraceae,purple,7
Primula auricula,Primulaceae,yellow,4
