Plant_species,Pollinator_species,Interaction,Sampling_method,Sampling_effort_minutes,Sampling_area_square_meters,Site_id,Habitat,Country,Locality,Latitude,Longitude,Coordinate_precision,Elevation,Day,Month,Year,Comments,Temperature,Humidity
Malva sylvestris,Bombus terr-complex,1,Transect,30,300,Chize_1_Field_boundary,Field boundary,France,Chize,46.226.893,-383.316,NA,NA,29,6,2015,Coordinates are for the sunflower field bordering the field boundary,33,NA
Malva sylvestris,Bombus terrestris,1,Transect,30,300,Chize_1_Field_boundary,Field boundary,France,Chize,46.226.893,-383.316,NA,NA,29,6,2015,Coordinates are for the sunflower field bordering the field boundary,33,NA
Malva sylvestris,Bombus terrestris,1,Transect,30,300,Chize_1_Field_boundary,Field boundary,France,Chize,46.226.893,-383.316,NA,NA,29,6,2015,Coordinates are for the sunflower field bordering the field boundary,33,NA
Malva sylvestris,Halictus simplex,1,Transect,30,300,Chize_1_Field_boundary,Field boundary,France,Chize,46.226.893,-383.316,NA,NA,29,6,2015,Coordinates are for the sunflower field bordering the field boundary,33,NA
Malva sylvestris,Halictus simplex,1,Transect,30,300,Chize_1_Field_boundary,Field boundary,France,Chize,46.226.893,-383.316,NA,NA,29,6,2015,Coordinates are for the sunflower field bordering the field boundary,33,NA
Malva sylvestris,Halictus simplex,1,Transect,30,300,Chize_1_Field_boundary,Field boundary,France,Chize,46.226.893,-383.316,NA,NA,29,6,2015,Coordinates are for the sunflower field bordering the field boundary,33,NA
Malva sylvestris,Halictus simplex,1,Transect,30,300,Chize_1_Field_boundary,Field boundary,France,Chize,46.226.893,-383.316,NA,NA,29,6,2015,Coordinates are for the sunflower field bordering the field boundary,33,NA
Rubus sp.,Halictus smaragdulus,1,Transect,30,300,Chize_1_Field_boundary,Field boundary,France,Chize,46.226.893,-383.316,NA,NA,29,6,2015,Coordinates are for the sunflower field bordering the field boundary,33,NA
Rubus sp.,Halictus smaragdulus,1,Transect,30,300,Chize_1_Field_boundary,Field boundary,France,Chize,46.226.893,-383.316,NA,NA,29,6,2015,Coordinates are for the sunflower field bordering the field boundary,33,NA
Rubus sp.,Lasioglossum glabriusculum,1,Transect,30,300,Chize_1_Field_boundary,Field boundary,France,Chize,46.226.893,-383.316,NA,NA,29,6,2015,Coordinates are for the sunflower field bordering the field boundary,33,NA
Convolvulus arvensis,Lasioglossum malachurum,1,Transect,30,300,Chize_1_Field_boundary,Field boundary,France,Chize,46.226.893,-383.316,NA,NA,29,6,2015,Coordinates are for the sunflower field bordering the field boundary,33,NA
Rubus sp.,Lasioglossum pauxillum,1,Transect,30,300,Chize_1_Field_boundary,Field boundary,France,Chize,46.226.893,-383.316,NA,NA,29,6,2015,Coordinates are for the sunflower field bordering the field boundary,33,NA
Rubus sp.,Lasioglossum pauxillum,1,Transect,30,300,Chize_1_Field_boundary,Field boundary,France,Chize,46.226.893,-383.316,NA,NA,29,6,2015,Coordinates are for the sunflower field bordering the field boundary,33,NA
Rubus sp.,Lasioglossum pauxillum,1,Transect,30,300,Chize_1_Field_boundary,Field boundary,France,Chize,46.226.893,-383.316,NA,NA,29,6,2015,Coordinates are for the sunflower field bordering the field boundary,33,NA
Malva sylvestris,Lasioglossum subhirtum,1,Transect,30,300,Chize_1_Field_boundary,Field boundary,France,Chize,46.226.893,-383.316,NA,NA,29,6,2015,Coordinates are for the sunflower field bordering the field boundary,33,NA
Malva sylvestris,Lasioglossum subhirtum,1,Transect,30,300,Chize_1_Field_boundary,Field boundary,France,Chize,46.226.893,-383.316,NA,NA,29,6,2015,Coordinates are for the sunflower field bordering the field boundary,33,NA
Malva sylvestris,Lasioglossum subhirtum,1,Transect,30,300,Chize_1_Field_boundary,Field boundary,France,Chize,46.226.893,-383.316,NA,NA,29,6,2015,Coordinates are for the sunflower field bordering the field boundary,33,NA
Malva sylvestris,Lasioglossum subhirtum,1,Transect,30,300,Chize_1_Field_boundary,Field boundary,France,Chize,46.226.893,-383.316,NA,NA,29,6,2015,Coordinates are for the sunflower field bordering the field boundary,33,NA
Malva sylvestris,Lasioglossum subhirtum,1,Transect,30,300,Chize_1_Field_boundary,Field boundary,France,Chize,46.226.893,-383.316,NA,NA,29,6,2015,Coordinates are for the sunflower field bordering the field boundary,33,NA
Malva sylvestris,Lasioglossum subhirtum,1,Transect,30,300,Chize_1_Field_boundary,Field boundary,France,Chize,46.226.893,-383.316,NA,NA,29,6,2015,Coordinates are for the sunflower field bordering the field boundary,33,NA
Rubus sp.,Lasioglossum subhirtum,1,Transect,30,300,Chize_1_Field_boundary,Field boundary,France,Chize,46.226.893,-383.316,NA,NA,29,6,2015,Coordinates are for the sunflower field bordering the field boundary,33,NA
Malva sylvestris,Lasioglossum subhirtum,1,Transect,30,300,Chize_1_Field_boundary,Field boundary,France,Chize,46.226.893,-383.316,NA,NA,29,6,2015,Coordinates are for the sunflower field bordering the field boundary,33,NA
Malva sylvestris,Osmia spinulosa,1,Transect,30,300,Chize_1_Field_boundary,Field boundary,France,Chize,46.226.893,-383.316,NA,NA,29,6,2015,Coordinates are for the sunflower field bordering the field boundary,33,NA
Malva sylvestris,Osmia spinulosa,1,Transect,30,300,Chize_1_Field_boundary,Field boundary,France,Chize,46.226.893,-383.316,NA,NA,29,6,2015,Coordinates are for the sunflower field bordering the field boundary,33,NA
Silene alba,Sphaerophoria scripta,1,Transect,30,300,Chize_1_Field_boundary,Field boundary,France,Chize,46.226.893,-383.316,NA,NA,29,6,2015,Coordinates are for the sunflower field bordering the field boundary,33,NA
Torilis arvensis,Sphaerophoria scripta,1,Transect,30,300,Chize_1_Field_boundary,Field boundary,France,Chize,46.226.893,-383.316,NA,NA,29,6,2015,Coordinates are for the sunflower field bordering the field boundary,33,NA
Torilis arvensis,Sphaerophoria scripta,1,Transect,30,300,Chize_1_Field_boundary,Field boundary,France,Chize,46.226.893,-383.316,NA,NA,29,6,2015,Coordinates are for the sunflower field bordering the field boundary,33,NA
Crepis capillaris,Andrena flavipes,1,Transect,30,300,Chize_1_Field_boundary,Field boundary,France,Chize,46.226.893,-383.316,NA,NA,30,6,2015,Coordinates are for the sunflower field bordering the field boundary,22,NA
Crepis capillaris,Andrena flavipes,1,Transect,30,300,Chize_1_Field_boundary,Field boundary,France,Chize,46.226.893,-383.316,NA,NA,30,6,2015,Coordinates are for the sunflower field bordering the field boundary,22,NA
Malva sylvestris,Bombus,1,Transect,30,300,Chize_1_Field_boundary,Field boundary,France,Chize,46.226.893,-383.316,NA,NA,30,6,2015,Coordinates are for the sunflower field bordering the field boundary,22,NA
Malva sylvestris,Bombus ruderatus,1,Transect,30,300,Chize_1_Field_boundary,Field boundary,France,Chize,46.226.893,-383.316,NA,NA,30,6,2015,Coordinates are for the sunflower field bordering the field boundary,22,NA
Convolvulus arvensis,Chrysotoxum intermedium,1,Transect,30,300,Chize_1_Field_boundary,Field boundary,France,Chize,46.226.893,-383.316,NA,NA,30,6,2015,Coordinates are for the sunflower field bordering the field boundary,22,NA
