Day,Month,Year,Site_id,Plant_species,Flower_count,Units,Comment
26,7,2013,Mt_Lesima_1,Campanula rotundifolia,3.68,Flowers per square meter,69
26,7,2013,Mt_Lesima_1,Dianthus monspessulanum,4.746666667,Flowers per square meter,89
26,7,2013,Mt_Lesima_1,Hypericum reicheri,1.173333333,Flowers per square meter,22
26,7,2013,Mt_Lesima_1,Knautia drymeia,7.466666667,Flowers per square meter,140
26,7,2013,Mt_Lesima_1,Laserpitium gallicum,0.16,Flowers per square meter,3
26,7,2013,Mt_Lesima_1,Laserpitium siler,0.106666667,Flowers per square meter,2
26,7,2013,Mt_Lesima_1,Leucanthemum adustum,0.8,Flowers per square meter,15
26,7,2013,Mt_Lesima_1,Phytheuma scorzonerifolium,0.32,Flowers per square meter,6
26,7,2013,Mt_Lesima_1,Prunella grandiflora,2.826666667,Flowers per square meter,53
26,7,2013,Mt_Lesima_1,Rhynanthus alectorolopus,0.693333333,Flowers per square meter,13
26,7,2013,Mt_Lesima_1,Serratula tinctoria,12.85333333,Flowers per square meter,241
26,7,2013,Mt_Lesima_1,Solidago virgaurea,0.213333333,Flowers per square meter,4
26,7,2013,Mt_Lesima_1,Stachys recta,0.106666667,Flowers per square meter,2
26,7,2013,Mt_Lesima_1,Tanacetum corimbosum,0.693333333,Flowers per square meter,13
2,8,2013,Mt_Lesima_2,Campanula rotundifolia,2.933333333,Flowers per square meter,55
2,8,2013,Mt_Lesima_2,Hypericum reicheri,0.8,Flowers per square meter,15
2,8,2013,Mt_Lesima_2,Knautia drymeia,1.866666667,Flowers per square meter,35
2,8,2013,Mt_Lesima_2,Laserpitium siler,0.053333333,Flowers per square meter,1
2,8,2013,Mt_Lesima_2,Phytheuma scorzonerifolium,0.373333333,Flowers per square meter,7
2,8,2013,Mt_Lesima_2,Prunella grandiflora,0.96,Flowers per square meter,18
2,8,2013,Mt_Lesima_2,Rhynanthus alectorolopus,0.32,Flowers per square meter,6
2,8,2013,Mt_Lesima_2,Serratula tinctoria,8.053333333,Flowers per square meter,151
2,8,2013,Mt_Lesima_2,Trifolium medium,2.24,Flowers per square meter,42
