Order,Family,Subfamily,Tribe,Genus,Subgenus,Species,GenusAndSpecies,TaxonomicAuthority,Albania,Andorra,Austria,Belarus,Belgium,Bosnia and Herzegovina,Bulgaria,Croatia,Cyprus,Czech Republic,Denmark,Estonia,Faroe Islands,Finland,Finland - Åland Islands,Finland - Mainland,France,France - Corsica,France - Mainland,Germany,Gibraltar,Greece,Greece - East Aegean Islands,Greece - Kriti,Greece - Mainland,Hungary,Iceland,Ireland,Isle of Man,Italy,Italy - Mainland,Italy - Sardegna,Italy - Sicily,Latvia,Liechtenstein,Lithuania,Luxembourg,Malta,Moldova,Montenegro,Netherlands,North Macedonia,Norway,Poland,Portugal,Portugal - Azores,Portugal - Madeira,Portugal - Mainland,Romania,Russian Federation - European Russia,Serbia,Slovakia,Slovenia,Spain,Spain - Balearic Islands,Spain - Canary Islands,Spain - Mainland,Sweden,Switzerland,Turkey - European part,Ukraine,Ukraine - Krym,Ukraine - Main part,United Kingdom,United Kingdom - Great Britain,United Kingdom - Northern Ireland
Diptera,Syrphidae,Eristalinae,Eristalini,Anasimyia,,contracta,Anasimyia contracta,"Claussen & Torp, 1980",A,P,P,P,P,A,P,A,A,P,P,P,A,P,P,P,P,A,P,P,A,P,A,A,P,P,A,P,A,P,P,P,P,P,P,A,P,A,A,P,P,A,P,P,P,A,A,P,P,P,P,P,A,P,A,A,P,P,P,P,P,A,P,P,P,P
Diptera,Syrphidae,Eristalinae,Eristalini,Anasimyia,,femorata,Anasimyia femorata,"Šimić, 1987",P,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,P,A,A,A,A,P,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
Diptera,Syrphidae,Eristalinae,Eristalini,Anasimyia,,interpuncta,Anasimyia interpuncta,"(Harris, 1776)",A,A,P,P,P,A,A,A,A,P,P,P,A,P,P,P,P,A,P,P,A,A,A,A,A,P,A,A,A,A,A,A,A,P,A,P,A,A,A,A,P,A,P,P,A,A,A,A,P,P,P,P,A,A,A,A,A,P,P,A,P,A,P,P,P,A
Diptera,Syrphidae,Eristalinae,Eristalini,Anasimyia,,lunulata,Anasimyia lunulata,"(Meigen, 1822)",A,A,PE,P,P,A,P,A,A,A,P,P,A,P,A,P,P,A,P,P,A,A,A,A,A,P,A,P,A,A,A,A,A,P,A,P,A,A,A,A,P,A,P,P,A,A,A,A,A,P,A,A,A,A,A,A,A,P,P,A,P,A,P,P,P,P
Diptera,Syrphidae,Eristalinae,Eristalini,Anasimyia,,transfuga,Anasimyia transfuga,"(Linnaeus, 1758)",A,A,P,P,P,A,P,A,A,P,P,P,A,P,P,P,P,A,P,P,A,A,A,A,A,P,A,P,A,P,P,A,A,P,A,P,A,A,A,P,P,A,P,P,A,A,A,A,P,P,P,P,A,A,A,A,A,P,P,A,P,P,P,P,P,P
Diptera,Syrphidae,Eristalinae,Eristalini,Arctosyrphus,,willingii,Arctosyrphus willingii,"(Smith, 1912)",A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,P,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
Diptera,Syrphidae,Syrphinae,Bacchini,Baccha,,elongata,Baccha elongata,"(Fabricius, 1775)",A,P,P,P,P,P,P,P,A,P,P,P,A,P,P,P,P,P,P,P,A,P,A,A,P,P,A,P,A,P,P,P,P,P,P,P,P,A,A,P,P,P,P,P,P,P,A,P,P,P,P,P,P,P,A,A,P,P,P,A,P,P,P,P,P,P
Diptera,Syrphidae,Eristalinae,Milesiini,Blera,,eoa ,Blera eoa,"(Stackelberg, 1928)",A,A,A,A,A,A,A,A,A,A,A,A,A,P,A,P,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,P,A,A,A,A,A,A,A,P,A,A,A,A,A,A,A,A
Diptera,Syrphidae,Eristalinae,Milesiini,Blera ,,fallax,Blera fallax,"(Linnaeus, 1758)",A,A,P,P,P,P,P,P,A,P,P,P,A,P,P,P,P,A,P,P,A,P,A,A,P,P,A,A,A,P,P,A,A,P,P,P,P,A,P,P,P,P,P,P,A,A,A,A,P,P,P,P,P,P,A,A,P,P,P,A,P,A,P,P,P,A
Diptera,Syrphidae,Eristalinae,Milesiini,Blera ,,nitens,Blera nitens,"(Stackelberg, 1923)",A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
