Pollinator_accepted_name,Interaction_percent,Cumulative_percentage
Bombus terrestris,3.805519764320273,13.554748247695002
Bombus pascuorum,2.4801325298312165,22.38864588711133
Bombus lapidarius,1.79178482220426,28.77074181175509
Episyrphus balteatus,1.1591914115262896,32.899625309207
Sphaerophoria scripta,1.1418515584081836,36.96674658803333
Bombus lucorum,1.0955230277695525,40.86885188786515
Eristalis tenax,1.0242962464997951,44.51725699734264
Halictus scabiosae,0.6985737748504549,47.005482584637996
Bombus soroeensis,0.6875474067138133,49.454433735474
Bombus pratorum,0.635972458977909,51.71968187706468
Bombus hortorum,0.6237011783097112,53.94122137162802
Bombus wurflenii,0.49654225544360236,55.70983792960374
Anthophora plumipes,0.45439307401805307,57.32832478692035
Lasioglossum pauxillum,0.3280344520650876,58.496739271585895
Bombus ruderarius,0.32456648144146644,59.65280131252633
Bombus sylvarum,0.30073529869453136,60.723979894022364
Lasioglossum malachurum,0.29717840574722765,61.782489302467006
Lasioglossum villosulum,0.2683675728740673,62.738378409195285
Lasioglossum glabriusculum,0.23457708987468176,63.57391037193525
Halictus simplex,0.2303088183379173,64.39423932701352
Syritta pipiens,0.22675192539061353,65.2018991090404
Melanostoma mellinum,0.20985668389092077,65.94938031907313
Thricops beckeri,0.20069768455161363,66.66423840849848
Bombus hypnorum,0.1885153262070983,67.33570458022278
Eupeodes corollae,0.187270413675542,68.00273654137911
Andrena flavipes,0.16237216304441582,68.5810842911756
Lasioglossum morio,0.1517014842025046,69.1214245218179
Eristalis arbustorum,0.15027872702358308,69.65669708323964
Oxythyrea cinctella,0.1444098536605319,70.17106550912655
Lasioglossum leucopus,0.1376517570606548,70.66136250621581
Lasioglossum calceatum,0.12413556386090059,71.10351664570975
Syrphus vitripennis,0.11915591373467535,71.52793394293171
Lasioglossum subhirtum,0.11631039937683235,71.94221590171256
Maniola jurtina,0.1143541082558153,72.34952981531512
Syrphus ribesii,0.11097505995587675,72.74480801451887
Helophilus pendulus,0.10261636152971296,73.11031365705182
Eristalis pertinax,0.09763671140348772,73.4580824573128
Andrena ovatula,0.08918909065364132,73.77576197157671
Thricops nigritellus,0.08589896467738536,74.08172250076807
Scaeva pyrastri,0.08518758608792461,74.38514919534914
Flavipanurgus venustus,0.08474297446951165,74.6869922432988
Xylocopa violacea,0.08234207173008162,74.98028359943875
Bombus bohemicus,0.08216422708271644,75.27294149692614
Platycheirus albimanus,0.08091931455116012,75.56116518384553
Bombus monticola,0.07433906259864821,75.82595090061984
Halictus maculatus,0.07238277147763114,76.08376857221587
Anthaxia mundula,0.07007079106188371,76.33335128132849
Lasioglossum leucozonium,0.06927049014874037,76.58008342650454
Bombus jonellus,0.06793665529350147,76.82206463178632
Bombus subterraneus,0.06473545164092809,77.05264358132183
Issoria lathonia,0.0633126944620066,77.27815486163679
Andrena minutula,0.06242347122518067,77.50049884868889
Andrena haemorrhoa,0.06153424798835473,77.71967554247816
Psilothrix viridicoerulea,0.06153424798835473,77.93885223626741
